h3_cell,lon,lat,resolution,avg_hex_area_km2,source_wind_lon,source_wind_lat,u10,v10,speed,source_chla_lon,source_chla_lat,chlor_a
830000fffffffff,38.02340700796989,79.24239850975904,3,12393.43465508816,38.0,79.5,-0.4579234,-1.7766691,2.7535539,38.0,79.5,1.8725796
830001fffffffff,34.26932302338498,80.11677141025228,3,12393.43465508816,34.0,80.5,-0.2704201,-1.7256691,2.7201042,34.0,80.5,0.0
830002fffffffff,43.75098847490955,79.24756210656105,3,12393.43465508816,44.0,79.5,-0.77412635,-1.3794861,2.5942912,44.0,79.5,1.9681301
830003fffffffff,40.49488067269076,80.19095721433925,3,12393.43465508816,40.0,80.5,-0.6611602,-1.673046,2.748059,40.0,80.5,1.4305017
830004fffffffff,35.9758018082166,78.28997925905192,3,12393.43465508816,36.0,78.5,-0.49881202,-1.8544704,2.7823787,36.0,78.5,1.7774838
830005fffffffff,32.41364991071507,79.1345859133172,3,12393.43465508816,32.0,79.5,-0.2841116,-2.0728683,2.8945792,32.0,79.5,1.024748
830006fffffffff,41.20060633382336,78.33211415004435,3,12393.43465508816,41.0,78.5,-0.57959163,-1.587414,2.6511471,41.0,78.5,1.8250461
830008fffffffff,31.757227719907444,81.95749230923279,3,12393.43465508816,32.0,81.5,-0.4932543,-1.6685853,2.7876344,32.0,81.5,0.43006456
830009fffffffff,25.86344547441823,82.7481064667546,3,12393.43465508816,26.0,82.5,-0.45236552,-1.8356861,2.849527,26.0,82.5,0.0
83000afffffffff,39.44440646350467,82.07504750745515,3,12393.43465508816,39.0,82.5,-0.77457875,-1.5443687,2.6688066,39.0,82.5,0.0
83000bfffffffff,34.29430925136127,82.97167616643607,3,12393.43465508816,34.0,82.5,-0.64871025,-1.6490452,2.7327228,34.0,82.5,0.0
83000cfffffffff,29.808287305095263,80.94319884056402,3,12393.43465508816,30.0,80.5,0.027194932,-1.6346103,2.7311482,30.0,80.5,0.5065826
83000dfffffffff,24.49208901585842,81.70598054219595,3,12393.43465508816,24.0,81.5,-0.37486959,-1.7515781,2.8491106,24.0,81.5,3.6499186
83000efffffffff,36.5589999989751,81.0988307976139,3,12393.43465508816,37.0,81.5,-0.66898054,-1.6287742,2.7681117,37.0,81.5,0.0
830010fffffffff,51.70453826948658,78.12815469994874,3,12393.43465508816,52.0,78.5,-0.8855144,-1.252717,2.3724203,52.0,78.5,2.8753479
830011fffffffff,49.48433311828839,79.14678868406263,3,12393.43465508816,49.0,79.5,-1.0228235,-1.2101798,2.4788857,49.0,79.5,1.0324636
830012fffffffff,56.810954195432345,77.8817671649003,3,12393.43465508816,57.0,77.5,-0.69299865,-1.1662425,2.3883693,57.0,77.5,1.5254552
830013fffffffff,55.11071029260546,78.94009507357545,3,12393.43465508816,55.0,78.5,-0.93366647,-1.2181718,2.3524652,55.0,78.5,0.0
830014fffffffff,48.772547699882864,77.29164486751961,3,12393.43465508816,49.0,77.5,-0.65965176,-1.3927317,2.5060756,49.0,77.5,1.9432722
830015fffffffff,46.4729694675059,78.27865044836899,3,12393.43465508816,46.0,78.5,-0.7484142,-1.3776648,2.528734,46.0,78.5,0.6857187
830016fffffffff,53.56910494211596,77.09921289402962,3,12393.43465508816,54.0,77.5,-0.66360843,-1.2808313,2.4321551,54.0,77.5,2.1200483
830018fffffffff,50.50463476954189,81.02927615685503,3,12393.43465508816,51.0,81.5,-0.9496321,-1.0743532,2.3773658,51.0,81.5,0.8475488
830019fffffffff,47.29998493029485,82.04805522569939,3,12393.43465508816,47.0,82.5,-0.975205,-1.3039525,2.5206356,47.0,82.5,0.0
83001afffffffff,57.29838399009442,80.79953974248144,3,12393.43465508816,57.0,80.5,-0.6799221,-0.9026184,1.7652154,57.0,80.5,0.0
83001bfffffffff,55.03548848120036,81.87367862318621,3,12393.43465508816,55.0,81.5,-1.0271513,-0.8433166,2.2416332,55.0,81.5,0.5630823
83001cfffffffff,46.80505562258983,80.14965164562977,3,12393.43465508816,47.0,80.5,-0.75819546,-1.0894079,2.0727894,47.0,80.5,0.0
83001dfffffffff,43.52421550131987,81.1292607318741,3,12393.43465508816,44.0,81.5,-0.84923196,-1.4214532,2.5714915,44.0,81.5,1.8391465
83001efffffffff,53.04907137171258,79.99092541091694,3,12393.43465508816,53.0,79.5,-1.0416317,-1.1858323,2.4244921,53.0,79.5,0.31160435
830020fffffffff,29.59869732772649,77.18429028214916,3,12393.43465508816,30.0,77.5,-0.73329556,-1.9319615,2.8363497,30.0,77.5,1.9364386
830021fffffffff,25.991485765917822,77.93674921043404,3,12393.43465508816,26.0,77.5,-0.7796609,-2.0154252,2.8236501,26.0,77.5,3.312209
830022fffffffff,34.25574794254951,77.33823940738004,3,12393.43465508816,34.0,77.5,-0.66240174,-1.8580389,2.8326821,34.0,77.5,1.2792943
830023fffffffff,30.88226077950457,78.15617299998873,3,12393.43465508816,31.0,78.5,-0.5833742,-1.9849938,2.8232617,31.0,78.5,1.7964491
830024fffffffff,28.508331469509383,76.22094865924515,3,12393.43465508816,29.0,76.5,-0.9024082,-1.9835315,3.0537915,29.0,76.5,1.7621746
830025fffffffff,25.128395056873565,76.95375338151823,3,12393.43465508816,25.0,76.5,-1.0774267,-1.8101735,2.8450625,25.0,76.5,2.7677042
830026fffffffff,32.79294587472524,76.3904838497372,3,12393.43465508816,33.0,76.5,-0.85597324,-1.9190011,3.0227933,33.0,76.5,1.4466609
830028fffffffff,22.59992659223053,79.6496815777728,3,12393.43465508816,23.0,79.5,,,,23.0,79.5,
830029fffffffff,17.555062610592678,80.3007492620309,3,12393.43465508816,18.0,80.5,-0.39653227,-1.08408,2.3030024,18.0,80.5,1.5017645
83002afffffffff,28.26751429885717,79.93319689402763,3,12393.43465508816,28.0,79.5,-0.43851173,-2.0217938,2.7271981,28.0,79.5,0.5507484
83002bfffffffff,23.43671795447239,80.67262730672533,3,12393.43465508816,23.0,80.5,0.28522077,-1.3305058,2.2732291,23.0,80.5,1.558559
83002cfffffffff,21.920450572192436,78.6382947727584,3,12393.43465508816,22.0,78.5,,,,22.0,78.5,
83002dfffffffff,17.339769475159265,79.27779788194592,3,12393.43465508816,17.0,79.5,,,,17.0,79.5,
83002efffffffff,27.02051280487098,78.93037919687289,3,12393.43465508816,27.0,78.5,-0.53690445,-1.7143565,2.5509808,27.0,78.5,0.8543031
830030fffffffff,41.7072308695824,76.50272674900336,3,12393.43465508816,42.0,76.5,-0.45354906,-1.5880833,2.7528102,42.0,76.5,1.909327
830031fffffffff,39.04680379264652,77.40990455122223,3,12393.43465508816,39.0,77.5,-0.57410353,-1.6801956,2.728431,39.0,77.5,1.3787714
830032fffffffff,46.23472619376444,76.43855638809441,3,12393.43465508816,46.0,76.5,-0.4609053,-1.3821871,2.6146307,46.0,76.5,1.2436707
830033fffffffff,43.90873230099002,77.39513129335435,3,12393.43465508816,44.0,77.5,-0.60545456,-1.5353484,2.640386,44.0,77.5,2.0441427
830034fffffffff,39.801893487292205,75.60637989008187,3,12393.43465508816,40.0,75.5,-0.39674112,-1.4132507,2.745956,40.0,75.5,1.5541195
830035fffffffff,37.20863810635034,76.48579330410658,3,12393.43465508816,37.0,76.5,-0.6544305,-1.759756,2.9064982,37.0,76.5,1.1985645
830036fffffffff,44.02480041754976,75.57511025949971,3,12393.43465508816,44.0,75.5,-0.25744808,-1.2986989,2.689208,44.0,75.5,1.204973
830040fffffffff,-7.319041149396965,83.65766085163492,3,12393.43465508816,-7.0,83.5,1.1955978,-2.0155368,2.8355775,-7.0,83.5,0.0
830041fffffffff,-17.32457828790768,83.74193876437862,3,12393.43465508816,-17.0,83.5,1.8648777,-1.9161263,2.960449,-17.0,83.5,0.0
830042fffffffff,-0.4045340732230503,84.41990583976569,3,12393.43465508816,0.0,84.5,0.7608246,-1.9239944,2.760684,0.0,84.5,0.0
830043fffffffff,-11.830820994924666,84.6224650028269,3,12393.43465508816,-12.0,84.5,1.4165637,-1.6331728,2.6794121,-12.0,84.5,0.0
830044fffffffff,-4.03869553393901,82.67456261620042,3,12393.43465508816,-4.0,82.5,1.0468483,-2.2564735,3.0138376,-4.0,82.5,0.0
830045fffffffff,-12.63469957048315,82.83494739962418,3,12393.43465508816,-13.0,82.5,1.3677967,-1.9966286,2.702246,-13.0,82.5,0.0
830046fffffffff,2.173941003127964,83.38872632084444,3,12393.43465508816,2.0,83.5,0.65533084,-2.1456885,2.9009147,2.0,83.5,0.0
830048fffffffff,-34.79897450997873,84.36253654042623,3,12393.43465508816,-35.0,84.5,1.816888,-0.12786652,2.3880932,-35.0,84.5,0.0
830049fffffffff,-44.70009910158699,83.933089858291,3,12393.43465508816,-45.0,83.5,,,,-45.0,83.5,
83004afffffffff,-32.212785436580084,85.38029023874903,3,12393.43465508816,-32.0,85.5,1.4066434,-0.6610126,2.2730036,-32.0,85.5,0.0
83004bfffffffff,-44.430930283760894,84.97017339950898,3,12393.43465508816,-44.0,84.5,1.1952497,-0.034874506,1.9372439,-44.0,84.5,0.0
83004cfffffffff,-27.262122994917785,83.63584331133676,3,12393.43465508816,-27.0,83.5,,,,-27.0,83.5,
83004dfffffffff,-36.57356627586515,83.35054199240336,3,12393.43465508816,-37.0,83.5,,,,-37.0,83.5,
83004efffffffff,-23.610463898914297,84.60179326903584,3,12393.43465508816,-24.0,84.5,1.9505768,-0.91984147,2.6567633,-24.0,84.5,0.0
830050fffffffff,19.282260495291727,84.51628176854011,3,12393.43465508816,19.0,84.5,-0.109591976,-1.8475192,2.7561533,19.0,84.5,0.0
830051fffffffff,8.636730518848484,85.08455900569103,3,12393.43465508816,9.0,85.5,0.28055635,-1.808501,2.6886356,9.0,85.5,0.0
830052fffffffff,30.345872598395417,84.84697278906552,3,12393.43465508816,30.0,84.5,-0.5249883,-1.7181109,2.7317832,30.0,84.5,0.0
830053fffffffff,20.256836215006945,85.59749310704684,3,12393.43465508816,20.0,85.5,-0.17299032,-1.7681694,2.6741443,20.0,85.5,0.0
830054fffffffff,18.633640307584297,83.44509211563876,3,12393.43465508816,19.0,83.5,-0.20323917,-1.8955083,2.851966,19.0,83.5,0.0
830055fffffffff,9.876240200781664,84.01527163857948,3,12393.43465508816,10.0,84.5,0.2640802,-1.9330397,2.7966998,10.0,84.5,0.0
830056fffffffff,27.71508905903593,83.79650707914996,3,12393.43465508816,28.0,83.5,-0.4843896,-1.7886138,2.805921,28.0,83.5,0.0
830058fffffffff,-10.175267899151349,86.44843513882554,3,12393.43465508816,-10.0,86.5,0.75171626,-1.4539169,2.4785302,-10.0,86.5,0.0
830059fffffffff,-28.116792745442293,86.39621441792141,3,12393.43465508816,-28.0,86.5,1.0689286,-1.0078896,2.2971005,-28.0,86.5,0.0
83005afffffffff,3.185452854992141,87.23911590423276,3,12393.43465508816,3.0,87.5,0.18622455,-1.6044389,2.46654,3.0,87.5,0.0
83005bfffffffff,-20.765575614362398,87.3913193003253,3,12393.43465508816,-21.0,87.5,0.7851443,-1.3170619,2.401877,-21.0,87.5,0.0
83005cfffffffff,-4.1822766625927805,85.44504558547122,3,12393.43465508816,-4.0,85.5,0.8127593,-1.6803317,2.6218188,-4.0,85.5,0.0
83005dfffffffff,-18.322606085392326,85.54860563804591,3,12393.43465508816,-18.0,85.5,1.2883863,-1.214752,2.4477293,-18.0,85.5,0.0
83005efffffffff,6.687154617496177,86.16085589365363,3,12393.43465508816,7.0,86.5,0.23875102,-1.6899595,2.5906935,7.0,86.5,0.0
830060fffffffff,-6.231432554294534,80.95359378981291,3,12393.43465508816,-6.0,80.5,0.5011976,-3.2504292,3.6963074,-6.0,80.5,0.0
830061fffffffff,-13.109461857747588,81.08928769398936,3,12393.43465508816,-13.0,81.5,2.8491187,-1.7197589,3.440702,-13.0,81.5,0.0
830062fffffffff,-1.5611169364384665,81.68437486119811,3,12393.43465508816,-2.0,81.5,0.7281507,-2.831178,3.4082499,-2.0,81.5,0.0
830063fffffffff,-9.045841312026754,81.90129831394687,3,12393.43465508816,-9.0,81.5,1.7924521,-2.8528862,3.7756433,-9.0,81.5,0.0
830064fffffffff,-3.975301564544616,79.99990160108506,3,12393.43465508816,-4.0,79.5,0.19150391,-3.1605842,3.5778666,-4.0,79.5,0.0
830065fffffffff,-10.137024439032922,80.18374538800961,3,12393.43465508816,-10.0,80.5,0.5004434,-2.9956021,3.4671946,-10.0,80.5,0.51295936
830066fffffffff,0.3695850931560448,80.69373805203003,3,12393.43465508816,0.0,80.5,0.18509911,-3.2035422,3.6645837,0.0,80.5,0.0
830068fffffffff,-24.49770036464242,81.90536935625103,3,12393.43465508816,-24.0,81.5,,,,-24.0,81.5,
830069fffffffff,-31.922674654659893,81.69504445620925,3,12393.43465508816,-32.0,81.5,,,,-32.0,81.5,
83006afffffffff,-21.392777276269197,82.83095613906278,3,12393.43465508816,-21.0,82.5,1.4649713,-1.5647018,2.2054853,-21.0,82.5,0.0
83006bfffffffff,-29.91544205587692,82.66445379002901,3,12393.43465508816,-30.0,82.5,,,,-30.0,82.5,
83006cfffffffff,-20.077108774611688,81.09602300283093,3,12393.43465508816,-20.0,81.5,,,,-20.0,81.5,
83006dfffffffff,-26.93204642067352,80.9747357244446,3,12393.43465508816,-27.0,80.5,,,,-27.0,80.5,
83006efffffffff,-16.7824622597694,81.9758732181451,3,12393.43465508816,-17.0,81.5,,,,-17.0,81.5,
830070fffffffff,11.360572979537436,81.9059462462142,3,12393.43465508816,11.0,81.5,-0.26582536,-2.2949219,3.0653253,11.0,81.5,1.1647764
830071fffffffff,4.039052799914256,82.35905596954596,3,12393.43465508816,4.0,82.5,0.41868916,-2.3785589,3.0563486,4.0,82.5,0.0
830072fffffffff,18.17098520685917,82.3849591055896,3,12393.43465508816,18.0,82.5,-0.2860145,-2.0080528,2.93515,18.0,82.5,0.0
830073fffffffff,10.73310974657768,82.95528715801038,3,12393.43465508816,11.0,82.5,-0.036783636,-2.213193,3.0222588,11.0,82.5,0.0
830074fffffffff,11.839774768510557,80.86817099000231,3,12393.43465508816,12.0,80.5,-0.6225109,-2.1020484,2.9705746,12.0,80.5,1.4024386
830075fffffffff,5.448119944326261,81.33504795341756,3,12393.43465508816,5.0,81.5,0.09101099,-2.641427,3.2322538,5.0,81.5,0.0
830076fffffffff,17.824387514259158,81.33664122166626,3,12393.43465508816,18.0,81.5,-0.4153754,-1.9000432,2.9009154,18.0,81.5,1.7913103
830080fffffffff,74.88027194533086,77.15302871656907,3,12393.43465508816,75.0,77.5,-0.530871,0.34482542,2.2615128,75.0,77.5,1.6575207
830081fffffffff,74.98464658039892,78.28009279130782,3,12393.43465508816,75.0,78.5,-0.8293678,0.20523208,2.2592342,75.0,78.5,0.0
830082fffffffff,78.93290319870084,76.50576862174336,3,12393.43465508816,79.0,76.5,-0.45202908,0.46876943,2.253892,79.0,76.5,0.0
