resolution,h3_avg_area_km2,target_global_mean_1deg_area_km2,abs_difference_km2
3,12393.43465508816,7871.387052050489,4522.047603037671
4,1770.347654491307,7871.387052050489,6101.039397559181
5,252.9038581819449,7871.387052050489,7618.483193868544
6,36.12906216441245,7871.387052050489,7835.257989886077
7,5.161293359717191,7871.387052050489,7866.225758690772
8,0.7373275975944177,7871.387052050489,7870.649724452895
9,0.1053325134272067,7871.387052050489,7871.281719537062
10,0.01504750190766435,7871.387052050489,7871.372004548582
11,0.002149643129451879,7871.387052050489,7871.38490240736
12,0.000307091875631606,7871.387052050489,7871.386744958613
13,4.387026794728296e-05,7871.387052050489,7871.387008180221
14,6.267181135324313e-06,7871.387052050489,7871.387045783307
15,8.95311590760579e-07,7871.387052050489,7871.387051155177
2,86801.7803989972,7871.387052050489,78930.39334694672
1,609788.4417941332,7871.387052050489,601917.0547420827
0,4357449.416078383,7871.387052050489,4349578.029026332
