behavior,step_index,source_h3,target_h3,source_lon,source_lat,target_lon,target_lat,edge_distance_km,w_cost,c_cost,d_cost,f_cost,total_edge_cost
support_only,1,83eedcfffffffff,83eed8fffffffff,-27.83055450872197,-65.19239867027046,-27.633369781742072,-64.05340848173876,126.99806769767656,40.429044115053216,27.675335779073148,96.80959107144078,0.0,40.429044115053216
support_only,2,83eed8fffffffff,83eedbfffffffff,-27.633369781742072,-64.05340848173876,-27.45302148323532,-62.92300046478047,126.0140277693592,40.82817720603255,30.83724819641353,96.0594654609854,0.0,40.82817720603255
support_only,3,83eedbfffffffff,83dd75fffffffff,-27.45302148323532,-62.92300046478047,-27.287444717906148,-61.80198083857781,124.94399369391694,41.46311797029674,38.10804353641262,95.2437872136386,26.84370927098307,41.46311797029674
support_only,4,83dd75fffffffff,83dd71fffffffff,-27.287444717906148,-61.80198083857781,-27.134898532863023,-60.69110801278219,123.79270747085567,41.95910541978961,41.891991405649016,94.36617111694278,0.0,41.95910541978961
support_only,5,83dd71fffffffff,83dd46fffffffff,-27.134898532863023,-60.69110801278219,-26.99390487036324,-59.59109157307983,122.56513232883052,42.42051294038815,46.36566047988973,93.43040059961628,13.348845056317762,42.42051294038815
support_only,6,83dd46fffffffff,83dd55fffffffff,-26.99390487036324,-59.59109157307983,-25.018265382934768,-59.09675605487706,124.76560922916156,22.856616348957296,12.7165701193443,95.10780619125346,2.0835554636460505,22.856616348957296
support_only,7,83dd55fffffffff,83dd50fffffffff,-25.018265382934768,-59.09675605487706,-23.112941707109805,-58.57683896953471,123.93679775113036,21.54087470343212,14.779656029655047,94.476009962239,0.0,21.54087470343212
support_only,8,83dd50fffffffff,83dd52fffffffff,-23.112941707109805,-58.57683896953471,-21.278235086884248,-58.033701460889134,123.02341231209982,18.6301413223781,19.70330349845289,93.779743692632,0.0,18.6301413223781
support_only,9,83dd52fffffffff,83dc21fffffffff,-21.278235086884248,-58.033701460889134,-19.513846184600336,-57.46967181220651,122.029415764768,19.50373297978735,19.99224540396749,93.02202823271894,0.0,19.50373297978735
support_only,10,83dc21fffffffff,83dc23fffffffff,-19.513846184600336,-57.46967181220651,-17.81896500470727,-56.88702406760572,120.95901896360556,18.46427765030217,25.77617947627133,92.2060734825144,0.0,18.46427765030217
support_only,11,83dc23fffffffff,83dc04fffffffff,-17.81896500470727,-56.88702406760572,-16.192357572806845,-56.28796063667997,119.8166391213661,16.92594691545073,31.355395770434423,91.33524664726892,0.0,16.92594691545073
support_only,12,83dc04fffffffff,83dc06fffffffff,-16.192357572806845,-56.28796063667997,-14.632446968445924,-55.67459860807344,118.60685790574288,17.488563356783292,32.95197924226686,90.413040294892,0.0,17.488563356783292
support_only,13,83dc06fffffffff,83dc15fffffffff,-14.632446968445924,-55.67459860807344,-13.111796265504166,-55.04703568657949,118.76801758429278,16.953482734347805,38.45845440424871,90.53589100325678,5.027582380832649,16.953482734347805
support_only,14,83dc15fffffffff,83dc10fffffffff,-13.111796265504166,-55.04703568657949,-11.620459585476617,-54.395926379556,120.05662421112557,17.613388802006423,41.37871492182367,91.51818532361293,6.91174468969244,17.613388802006423
support_only,15,83dc10fffffffff,83dc12fffffffff,-11.620459585476617,-54.395926379556,-10.16397122638945,-53.721121352031226,121.1021402589184,17.89728731779569,47.87836403042912,92.31517367847827,11.274908477445225,17.89728731779569
support_only,16,83dc12fffffffff,83dca1fffffffff,-10.16397122638945,-53.721121352031226,-8.74293970296913,-53.0236052993809,122.07277083041956,18.84738309032784,53.6967345533166,93.055077445614,14.578674355822594,18.84738309032784
support_only,17,83dca1fffffffff,83dca3fffffffff,-8.74293970296913,-53.0236052993809,-7.357769978591822,-52.30442396780052,122.96446363577216,20.04597563231444,55.69982767422005,93.734807597517,14.822956545669427,20.04597563231444
support_only,18,83dca3fffffffff,83dc84fffffffff,-7.357769978591822,-52.30442396780052,-6.008679307693127,-51.56467730286538,123.77340749393676,20.467009491431018,61.26852468040169,94.35145890196912,17.109336972214983,20.467009491431018
support_only,19,83dc84fffffffff,83dc86fffffffff,-6.008679307693127,-51.56467730286538,-4.695713864418012,-50.80551256555889,124.4960709091278,21.39351629706264,63.23099524326894,94.9023393285397,18.31918472758805,21.39351629706264
support_only,20,83dc86fffffffff,83dc95fffffffff,-4.695713864418012,-50.80551256555889,-3.418765698200372,-50.02811746394178,125.12923899465171,22.337633636212185,65.08028481386687,95.38499819532636,20.29676880612501,22.337633636212185
support_only,21,83dc95fffffffff,83dc90fffffffff,-3.418765698200372,-50.02811746394178,-2.1775896246877706,-49.23371334081801,125.67004805780564,22.242117034137628,67.26259843609122,95.79725253274114,18.4983898927674,22.242117034137628
support_only,22,83dc90fffffffff,83dc92fffffffff,-2.1775896246877706,-49.23371334081801,-0.9718197295699846,-48.42354845175747,126.11601717644577,21.42109111900524,68.3364704483478,96.13721115407084,14.98807551222992,21.42109111900524
support_only,23,83dc92fffffffff,83d19efffffffff,-0.9718197295699846,-48.42354845175747,0.1990147700424474,-47.59889136356043,126.46507613486088,21.503108789257723,71.16931588119766,96.40329595076582,14.901596324972797,21.503108789257723
support_only,24,83d19efffffffff,83d19cfffffffff,0.1990147700424474,-47.59889136356043,1.3354744995459402,-46.76102450047921,126.71558914325966,23.7578507474653,72.5340716851945,96.5942599736114,14.958017601577511,23.7578507474653
support_only,25,83d19cfffffffff,83d183fffffffff,1.3354744995459402,-46.76102450047921,2.438195872696256,-45.91123786394962,126.86637384054136,25.579496816152176,72.9690821818258,96.70920191838508,21.93216657147603,25.579496816152176
support_only,26,83d183fffffffff,83d181fffffffff,2.438195872696256,-45.91123786394962,3.507878096956534,-45.050822950890456,126.91671517211942,25.60820451633143,73.90813589876055,96.74757670480834,10.82708799183002,25.60820451633143
support_only,27,83d181fffffffff,83d1aafffffffff,3.507878096956534,-45.050822950890456,4.545271284386913,-44.181066895458095,126.8663738405403,25.22222663386796,76.0982564390365,96.70920191838428,9.189039033396387,25.22222663386796
support_only,28,83d1aafffffffff,83d1a8fffffffff,4.545271284386913,-44.181066895458095,5.551165679996262,-43.30324685916769,126.7155891432589,27.6402622650692,74.56699487562844,96.5942599736108,7.710773674369319,27.6402622650692
support_only,29,83d1a8fffffffff,83d1adfffffffff,5.551165679996262,-43.30324685916769,6.526381992305564,-42.418624694226985,126.46507613486165,29.286885313190563,72.314924358947,96.4032959507664,6.37754777694922,29.286885313190563
support_only,30,83d1adfffffffff,83d11efffffffff,6.526381992305564,-42.418624694226985,7.471762790006778,-41.52844190453823,126.11601717644572,30.568425410404217,69.20749216385373,96.13721115407084,0.2037164036371252,30.568425410404217
support_only,31,83d11efffffffff,83d11cfffffffff,7.471762790006778,-41.52844190453823,8.38816491327464,-40.63391492793773,125.67004805780566,30.916671086324797,65.35840399278864,95.79725253274114,0.0,30.916671086324797
support_only,32,83d11cfffffffff,83d103fffffffff,8.38816491327464,-40.63391492793773,9.276452837701106,-39.73623076175167,125.12923899465264,31.19661141846336,59.14018608901049,95.38499819532709,0.0,31.19661141846336
support_only,33,83d103fffffffff,83d101fffffffff,9.276452837701106,-39.73623076175167,10.137492922179929,-38.83654295160397,124.49607090912627,31.0985880744871,52.31458829942171,94.90233932853856,0.0,31.0985880744871
support_only,34,83d101fffffffff,83d12afffffffff,10.137492922179929,-38.83654295160397,10.97214846863225,-37.93596796062747,123.77340749393818,31.085120077459287,44.35489091872091,94.3514589019702,4.833823704864433,31.085120077459287
support_only,35,83d12afffffffff,83d128fffffffff,10.97214846863225,-37.93596796062747,11.781275520559875,-37.03558193286036,122.96446363577331,31.00650046669316,33.81389059883661,93.7348075975179,8.64674554268188,31.00650046669316
support_only,36,83d128fffffffff,83d12dfffffffff,11.781275520559875,-37.03558193286036,12.565719328453133,-36.13641786075055,122.07277083041912,30.667518281809787,32.1284351208425,93.05507744561366,6.503052275723161,30.667518281809787
support_only,37,83d12dfffffffff,83ad21fffffffff,12.565719328453133,-36.13641786075055,13.326311412558082,-35.239463162466706,121.10214025891766,31.00839775976706,19.248633560923505,92.31517367847772,16.058007854889613,31.00839775976706
support_only,38,83ad21fffffffff,83ad23fffffffff,13.326311412558082,-35.239463162466706,14.06386715700332,-34.345657670264615,120.05662421112616,31.320965138267614,7.593698436976361,91.51818532361337,15.814428917373874,31.320965138267614
support_only,39,83ad23fffffffff,83ad04fffffffff,14.06386715700332,-34.345657670264615,14.779183873452684,-33.45589202662957,118.94047654071476,30.827830816953973,8.20315398101721,90.66735505897428,14.624998629998183,30.827830816953973
support_only,40,83ad04fffffffff,83ad00fffffffff,14.779183873452684,-33.45589202662957,14.257639692856076,-32.44689440288129,122.29423767239662,28.614186292110173,20.18583328117816,93.22389981272843,16.55218609635817,28.614186292110173
support_only,41,83ad00fffffffff,83ad03fffffffff,14.257639692856076,-32.44689440288129,13.746345587915854,-31.43316231375184,122.612342953855,24.827092229909457,16.777297769085045,93.46638887397118,14.461255522834817,24.827092229909457
support_only,42,83ad03fffffffff,83ad1dfffffffff,13.746345587915854,-31.43316231375184,13.245081400630514,-30.4155509842328,122.84057596231106,20.004022148747552,12.19545273865234,93.64036903460035,16.86671844405075,20.004022148747552
support_only,43,83ad1dfffffffff,83ad19fffffffff,13.245081400630514,-30.4155509842328,12.75362938165285,-29.394923664426635,122.97792401656612,16.106893053352856,6.555862943342799,93.74506833599874,19.25362976943364,16.106893053352856
support_only,44,83ad19fffffffff,83ac26fffffffff,12.75362938165285,-29.394923664426635,12.271774445228248,-28.37214802900097,123.02377497110618,11.721856833060553,2.4964100802655573,93.78002014463432,14.89635165900106,11.721856833060553
support_only,45,83ac26fffffffff,83ac22fffffffff,12.271774445228248,-28.37214802900097,11.799304391385428,-27.348092518376244,122.97792401656676,8.264017835616453,1.953319786924215,93.74506833599922,18.73685115152888,8.264017835616453
support_only,46,83ac22fffffffff,83ac04fffffffff,11.799304391385428,-27.348092518376244,11.336010097962149,-26.323622661950253,122.84057596231,4.641984186231578,2.8508322142851603,93.64036903459954,7.510934207408333,4.641984186231578
support_only,47,83ac04fffffffff,83ac00fffffffff,11.336010097962149,-26.323622661950253,10.88168568491568,-25.29959742411344,122.61234295385243,3.4132734156120472,5.514414558137511,93.46638887396924,7.112301340175143,3.4132734156120472
support_only,48,83ac00fffffffff,83ac03fffffffff,10.88168568491568,-25.29959742411344,10.43497917383861,-24.274203636139976,122.61234295385324,1.3134781038202867,4.63714282412274,93.46638887396983,13.445629531278351,1.3134781038202867
support_only,49,83ac03fffffffff,83ac1dfffffffff,10.43497917383861,-24.274203636139976,9.994618908373086,-23.24561335068656,122.8405759623095,1.0341783568136909,9.33608407608744,93.64036903459916,22.177255213085324,1.0341783568136909
support_only,50,83ac1dfffffffff,83ac19fffffffff,9.994618908373086,-23.24561335068656,9.560521531387796,-22.214662462779263,122.97792401656734,0.254223954753532,8.783720753875755,93.74506833599966,15.242850476345032,0.254223954753532
support_only,51,83ac19fffffffff,83ace6fffffffff,9.560521531387796,-22.214662462779263,9.132603163364507,-21.18219221229079,123.02377497110626,0.0851564535005496,8.29760151348526,93.78002014463438,5.50410552345925,0.0851564535005496
support_only,52,83ace6fffffffff,83ace2fffffffff,9.132603163364507,-21.18219221229079,8.710779537860448,-20.14904550973081,122.97792401656646,0.1314168999448997,12.477979880849636,93.745068335999,9.565918439507714,0.1314168999448997
