behavior,a_wind,b_crosswind,c_distance,d_food,status,error_type,error_message
behavior_001,0.0,0.0,0.5,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_002,0.0,0.0,0.6,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_003,0.0,0.0,0.7,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_004,0.0,0.0,0.8,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_005,0.0,0.0,0.9,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_006,0.0,0.0,1.0,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_007,0.0,0.1,0.4,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_008,0.0,0.1,0.5,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_009,0.0,0.1,0.6,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_010,0.0,0.1,0.7,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_011,0.0,0.1,0.8,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_012,0.0,0.1,0.9,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_013,0.0,0.2,0.3,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_014,0.0,0.2,0.4,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_015,0.0,0.2,0.5,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_016,0.0,0.2,0.6,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_017,0.0,0.2,0.7,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_018,0.0,0.2,0.8,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_019,0.0,0.3,0.2,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_020,0.0,0.3,0.3,0.4,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_021,0.0,0.3,0.4,0.3,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_022,0.0,0.3,0.5,0.2,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_023,0.0,0.3,0.6,0.1,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_024,0.0,0.3,0.7,0.0,failed,NodeNotFound,Target 831951fffffffff is not in G
behavior_025,0.0,0.4,0.1,0.5,failed,NodeNotFound,Target 831951fffffffff is not in G
