route_name,point_index,lon,lat
start_83eea8fffffffff_end_83074dfffffffff,0,-19.66157766610559,-71.63499815961013
start_83eea8fffffffff_end_83074dfffffffff,1,-16.670037931779238,-70.96624741447346
start_83eea8fffffffff_end_83074dfffffffff,2,-17.055639198271873,-69.80436620809523
start_83eea8fffffffff_end_83074dfffffffff,3,-17.399698849124384,-68.64610209442408
start_83eea8fffffffff_end_83074dfffffffff,4,-20.25828566386912,-68.13604720761879
start_83eea8fffffffff_end_83074dfffffffff,5,-22.98723721966428,-67.57889689810469
start_83eea8fffffffff_end_83074dfffffffff,6,-25.583644058900337,-66.9785947618638
start_83eea8fffffffff_end_83074dfffffffff,7,-28.04704334896593,-66.33911817023025
start_83eea8fffffffff_end_83074dfffffffff,8,-30.37898220790376,-65.66440226227566
start_83eea8fffffffff_end_83074dfffffffff,9,-32.582588488446426,-64.95828080254317
start_83eea8fffffffff_end_83074dfffffffff,10,-32.17770032225667,-63.82963948262643
start_83eea8fffffffff_end_83074dfffffffff,11,-31.80682370734664,-62.70870996953608
start_83eea8fffffffff_end_83074dfffffffff,12,-31.46587333423894,-61.5964031961196
start_83eea8fffffffff_end_83074dfffffffff,13,-33.328847588587514,-60.89706873753011
start_83eea8fffffffff_end_83074dfffffffff,14,-35.10008116682766,-60.177510697532
start_83eea8fffffffff_end_83074dfffffffff,15,-34.66666048806154,-59.0984819845803
start_83eea8fffffffff_end_83074dfffffffff,16,-36.300241378698175,-58.37494676914701
start_83eea8fffffffff_end_83074dfffffffff,17,-37.8553411777258,-57.63731895651026
start_83eea8fffffffff_end_83074dfffffffff,18,-37.36423167195105,-56.59599570361537
start_83eea8fffffffff_end_83074dfffffffff,19,-36.90483170869178,-55.56516580738299
start_83eea8fffffffff_end_83074dfffffffff,20,-36.47421999243465,-54.54552857531062
start_83eea8fffffffff_end_83074dfffffffff,21,-36.06981710199783,-53.53771121711112
start_83eea8fffffffff_end_83074dfffffffff,22,-35.68933779613531,-52.5422727756283
start_83eea8fffffffff_end_83074dfffffffff,23,-35.33075093677958,-51.5597077900365
start_83eea8fffffffff_end_83074dfffffffff,24,-35.07561616581248,-50.5600208527191
start_83eea8fffffffff_end_83074dfffffffff,25,-34.95425639255736,-49.51170172283438
start_83eea8fffffffff_end_83074dfffffffff,26,-34.83696134665922,-48.4537846072316
start_83eea8fffffffff_end_83074dfffffffff,27,-34.723531116171266,-47.38688143244229
start_83eea8fffffffff_end_83074dfffffffff,28,-33.35079034727119,-46.964502917793816
start_83eea8fffffffff_end_83074dfffffffff,29,-31.981440144693146,-46.5198046159175
start_83eea8fffffffff_end_83074dfffffffff,30,-30.61702473939076,-46.05282240921466
start_83eea8fffffffff_end_83074dfffffffff,31,-29.25905491491321,-45.563670016859405
start_83eea8fffffffff_end_83074dfffffffff,32,-27.908998312291168,-45.05254053075947
start_83eea8fffffffff_end_83074dfffffffff,33,-26.56827044520285,-44.51970727473728
start_83eea8fffffffff_end_83074dfffffffff,34,-25.192761262272946,-45.09462402605392
start_83eea8fffffffff_end_83074dfffffffff,35,-23.784064538568344,-45.65487866615484
start_83eea8fffffffff_end_83074dfffffffff,36,-22.43658871387912,-45.07148661519392
start_83eea8fffffffff_end_83074dfffffffff,37,-20.98900298096314,-45.600515193613134
start_83eea8fffffffff_end_83074dfffffffff,38,-19.65257438009391,-44.98067607211014
start_83eea8fffffffff_end_83074dfffffffff,39,-18.334538800421537,-44.34034924890669
start_83eea8fffffffff_end_83074dfffffffff,40,-17.035884335758297,-43.68030095796937
start_83eea8fffffffff_end_83074dfffffffff,41,-15.757490705223349,-43.00136686568813
start_83eea8fffffffff_end_83074dfffffffff,42,-14.500129816872118,-42.30444705941837
start_83eea8fffffffff_end_83074dfffffffff,43,-13.02686451604125,-42.73928472243384
start_83eea8fffffffff_end_83074dfffffffff,44,-11.53450496381208,-43.1546393343662
