behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_031,213,25795.190576153782,3084.9792965943516,121.1041811087032,8266.295839404655,4217.373847186194,10649.746395270176,1952.5847460025063,0.0,0.5,0.0,0.5,ok
behavior_061,172,20646.451633751225,3374.279555142771,120.03750949855363,6511.549972504502,4267.582907740599,8599.795211204088,2032.1827895921647,0.1,0.4,0.0,0.5,ok
behavior_025,172,20643.8851484507,3579.471878157331,120.02258807238779,6555.291847583535,4266.197346326647,8599.795211204088,2026.0268370125266,0.0,0.4,0.1,0.5,ok
behavior_090,171,20487.542808900867,3592.8500661894827,119.81019186491736,6415.577948867343,4425.33541841813,8549.796401836622,1964.2677017811536,0.2,0.3,0.0,0.5,ok
behavior_067,171,20517.756983089766,3596.499943876732,119.98688294204541,6481.001209787307,4259.631692447651,8549.796401836622,2046.4599416854378,0.1,0.5,0.0,0.4,ok
behavior_117,169,20233.439866790646,3787.4366390452933,119.72449625319909,6300.73247277177,4445.256109255361,8449.79878310169,2016.3313507253813,0.3,0.2,0.0,0.5,ok
behavior_032,171,20497.606682619513,3797.2079177720934,119.86904492759949,6607.589578727795,4211.86123428196,8549.796401836622,2090.7441511186353,0.0,0.5,0.1,0.4,ok
behavior_055,171,20514.53901140044,3803.4688279341885,119.96806439415462,6462.139816384103,4272.757046769282,8549.796401836622,2040.8961841626617,0.1,0.3,0.1,0.5,ok
behavior_096,171,20516.103969614935,3816.0375134108513,119.97721619657857,6453.542337968907,4266.862672857237,8549.796401836622,2046.4599416854378,0.2,0.4,0.0,0.4,ok
behavior_141,168,20109.33193200614,3967.4131511108903,119.6984043571794,6209.714117389276,4616.979542817081,8399.799973734225,2043.6590997469416,0.4,0.1,0.0,0.5,ok
behavior_019,158,18773.246994629826,3971.919139550428,118.81801895335333,6465.076335838382,4296.4396213546115,7899.811880059569,2206.0497542642547,0.0,0.3,0.2,0.5,ok
behavior_084,158,18781.235798034184,3998.1212287399176,118.86858100021635,6214.022901828127,4512.798206729341,7899.811880059569,2125.5516380449335,0.2,0.2,0.1,0.5,ok
behavior_062,168,20129.382814991448,4024.4335853293073,119.81775485113957,6456.053643314132,4233.707022396987,8399.799973734225,2113.413536664191,0.1,0.4,0.1,0.4,ok
behavior_123,168,20135.070366385222,4025.3590755394,119.85160932372156,6292.926581857956,4290.468550405076,8399.799973734225,2125.8513396512253,0.3,0.3,0.0,0.4,ok
behavior_101,171,20516.103969614935,4038.0777865280306,119.97721619657857,6453.542337968907,4266.862672857237,8549.796401836622,2046.4599416854378,0.2,0.5,0.0,0.3,ok
behavior_161,168,20109.370855767484,4116.896678792415,119.69863604623502,6190.13425783789,4719.845709440053,8399.799973734225,2043.6590997469416,0.5,0.0,0.0,0.5,ok
behavior_111,158,18776.394311204807,4165.67743774527,118.83793867851143,6166.170548060497,4596.781350988453,7899.811880059569,2132.333900444632,0.3,0.1,0.1,0.5,ok
behavior_049,158,18783.547859965707,4166.5269513955245,118.88321430358043,6223.429199093992,4507.229182258706,7899.811880059569,2125.5516380449335,0.1,0.2,0.2,0.5,ok
behavior_026,158,18774.61786737495,4180.691578359503,118.82669536313259,6475.343356290314,4288.489845288807,7899.811880059569,2213.333160580166,0.0,0.4,0.2,0.4,ok
behavior_147,168,20109.029847357608,4212.348642748804,119.69660623427147,6265.995618353703,4442.43377754273,8399.799973734225,2043.6590997469416,0.4,0.2,0.0,0.4,ok
behavior_068,160,19068.770588449923,4226.298698713848,119.17981617781201,6354.84820059853,4236.389356116998,7999.8094987945005,2242.127502386823,0.1,0.5,0.1,0.3,ok
behavior_091,158,18807.2763170618,4229.519406129626,119.03339441178353,6240.953865332381,4360.832979591688,7899.811880059569,2207.7438779492177,0.2,0.3,0.1,0.4,ok
behavior_128,162,19360.164941870557,4240.587498364266,119.50719099920097,6205.398795780945,4239.12813470433,8099.807117529432,2277.7220191608417,0.3,0.4,0.0,0.3,ok
behavior_135,158,18776.552635729196,4302.234309222846,118.83894073246327,6115.215427486425,4806.436021507831,7899.811880059569,2132.333900444632,0.4,0.0,0.1,0.5,ok
behavior_013,158,18749.516323462405,4322.997671286257,118.66782483204054,6429.730831465867,4442.666724349941,7899.811880059569,2129.0415247967903,0.0,0.2,0.3,0.5,ok
behavior_078,158,18781.235798034184,4336.822596072945,118.86858100021635,6214.022901828127,4512.798206729341,7899.811880059569,2125.5516380449335,0.2,0.1,0.2,0.5,ok
behavior_033,151,18342.104643944855,4338.005418773677,121.470891681754,8854.182693505594,3991.3494174505477,7549.82021448731,2774.5555571698023,0.0,0.5,0.2,0.3,ok
behavior_167,160,19042.323000188724,4379.8329564740425,119.01451875117952,6082.901961457698,4732.175766195406,7999.8094987945005,2162.910997814128,0.5,0.1,0.0,0.4,ok
behavior_056,158,18815.487691295973,4391.353986579205,119.08536513478464,6310.802739903151,4294.811621537052,7899.811880059569,2229.6696252896472,0.1,0.3,0.2,0.4,ok
behavior_118,158,18776.21162731932,4406.0426025065835,118.8367824513881,6191.076788002239,4529.024089610509,7899.811880059569,2132.333900444632,0.3,0.2,0.1,0.4,ok
behavior_097,162,19362.47700380208,4429.681980204036,119.5214629864326,6214.80509304681,4233.559110233695,8099.807117529432,2277.7220191608417,0.2,0.4,0.1,0.3,ok
behavior_152,162,19359.485384775027,4436.45477784432,119.50299620231499,6200.842628566494,4244.764776837635,8099.807117529432,2275.6276445547755,0.4,0.3,0.0,0.3,ok
behavior_132,162,19360.49431226271,4436.585275661627,119.5092241497698,6206.521919373104,4236.917185132228,8099.807117529432,2280.8505364179086,0.3,0.5,0.0,0.2,ok
behavior_105,158,18776.552635729196,4480.693954480161,118.83894073246327,6115.215427486425,4806.436021507831,7899.811880059569,2132.333900444632,0.3,0.0,0.2,0.5,ok
behavior_043,158,18780.934478598552,4505.257620490938,118.86667391518071,6215.697714698528,4514.3085802658115,7899.811880059569,2124.6268539532607,0.1,0.1,0.3,0.5,ok
behavior_182,160,19032.88876590621,4506.826622047713,118.95555478691381,6049.082315572627,4925.83569885485,7999.8094987945005,2193.443081760338,0.6,0.0,0.0,0.4,ok
behavior_020,158,18773.246994629826,4541.295352129959,118.81801895335333,6465.076335838382,4296.4396213546115,7899.811880059569,2206.0497542642547,0.0,0.3,0.3,0.4,ok
behavior_142,158,18776.5933527649,4566.799893124267,118.83919843522088,6129.649187640909,4703.485870771037,7899.811880059569,2136.526107462096,0.4,0.1,0.1,0.4,ok
behavior_085,158,18781.235798034184,4575.547252941387,118.86858100021635,6214.022901828127,4512.798206729341,7899.811880059569,2125.5516380449335,0.2,0.2,0.2,0.4,ok
behavior_063,158,18816.712144554076,4597.298385646695,119.09311483894984,6325.072480944614,4277.188892796865,7899.811880059569,2246.5106814052456,0.1,0.4,0.2,0.3,ok
behavior_172,163,19441.10659887619,4622.333755653366,119.27059263114228,6154.222380562489,4476.7122270574055,8149.805926896897,2166.267066535461,0.5,0.2,0.0,0.3,ok
behavior_102,162,19362.80637419423,4625.010542695119,119.52349613700143,6215.9282166389685,4231.348160661593,8099.807117529432,2280.8505364179086,0.2,0.5,0.1,0.2,ok
behavior_124,162,19359.485384775027,4626.351226740616,119.50299620231499,6200.842628566494,4244.764776837635,8099.807117529432,2275.6276445547755,0.3,0.3,0.1,0.3,ok
behavior_156,162,19360.164941870557,4633.355176026276,119.50719099920097,6205.398795780945,4239.12813470433,8099.807117529432,2277.7220191608417,0.4,0.4,0.0,0.2,ok
behavior_007,136,16591.896766222897,4639.5351508828235,121.99924092810954,7377.557738759632,4502.615351357232,6799.838073975327,2938.676772313928,0.0,0.1,0.4,0.5,ok
behavior_072,158,18776.251316293565,4659.026170265718,118.83703364742763,6116.890240356827,4807.946395044302,7899.811880059569,2131.4091163529592,0.2,0.0,0.3,0.5,ok
behavior_027,147,17912.228505150957,4678.252259910127,121.85189459286366,8518.899198520958,4083.6756433003334,7349.824977017448,2799.448364949181,0.0,0.4,0.3,0.3,ok
behavior_162,158,18776.632276526245,4699.626295035558,118.8394447881408,6110.069328089523,4806.352037394008,7899.811880059569,2136.526107462096,0.5,0.0,0.1,0.4,ok
behavior_112,158,18776.394311204807,4742.425235706765,118.83793867851143,6166.170548060497,4596.781350988453,7899.811880059569,2132.333900444632,0.3,0.1,0.2,0.4,ok
behavior_050,158,18783.547859965707,4743.952975596991,118.88321430358043,6223.429199093992,4507.229182258706,7899.811880059569,2125.5516380449335,0.1,0.2,0.3,0.4,ok
behavior_187,160,19042.295905499548,4771.501715291483,119.01434940937217,6071.529457381601,4797.107415182859,7999.8094987945005,2162.910997814128,0.6,0.1,0.0,0.3,ok
behavior_014,136,16591.896766222897,4795.929008787153,121.99924092810954,7377.557738759632,4502.615351357232,6799.838073975327,2938.676772313928,0.0,0.2,0.4,0.4,ok
behavior_034,146,17805.610890537595,4798.0754201213285,121.9562389762849,8373.351725221659,4058.26535950364,7299.826167649982,2894.974450372526,0.0,0.5,0.3,0.2,ok
behavior_092,158,18807.2763170618,4798.726206340667,119.03339441178353,6240.953865332381,4360.832979591688,7899.811880059569,2207.7438779492177,0.2,0.3,0.2,0.3,ok
behavior_069,158,18817.041514946228,4799.998747810439,119.09519946168498,6326.195604536773,4274.977943224762,7899.811880059569,2249.6391986623125,0.1,0.5,0.2,0.2,ok
behavior_148,158,18776.29126811637,4811.099316786061,118.83728650706563,6185.9306886053355,4528.940105496686,7899.811880059569,2136.526107462096,0.4,0.2,0.1,0.3,ok
behavior_159,162,19501.843159407865,4811.8982589297875,120.38174789757942,6072.49446457517,4171.595545239126,8099.807117529432,2971.0270048015764,0.4,0.5,0.0,0.1,ok
behavior_129,162,19360.164941870557,4822.796008201133,119.50719099920097,6205.398795780945,4239.12813470433,8099.807117529432,2277.7220191608417,0.3,0.4,0.1,0.2,ok
behavior_176,162,19359.1360695146,4828.919124189506,119.50083993527531,6197.596595106063,4249.98432575173,8099.807117529432,2275.6276445547755,0.5,0.3,0.0,0.2,ok
behavior_037,159,18845.750718967858,4831.521381367363,118.52673408155886,6401.580311818107,4999.676206884531,7949.810689427035,2022.878148829466,0.1,0.0,0.4,0.5,ok
behavior_197,168,20068.766653318842,4861.883560192205,119.4569443649931,5857.449974638893,5578.303089972357,8399.799973734225,2538.895259816589,0.7,0.0,0.0,0.3,ok
behavior_001,136,16589.914000862278,4869.25742314463,121.98466177104616,7376.243912695177,4517.733021766781,6799.838073975327,2938.676772313928,0.0,0.0,0.5,0.5,ok
behavior_136,158,18776.632276526245,4878.600550232564,118.8394447881408,6110.069328089523,4806.352037394008,7899.811880059569,2136.526107462096,0.4,0.0,0.2,0.4,ok
