behavior,step_index,source_h3,target_h3,source_lon,source_lat,target_lon,target_lat,edge_distance_km,w_cost,c_cost,d_cost,f_cost,total_edge_cost
behavior_001,1,83eea8fffffffff,83eeabfffffffff,-19.66157766610559,-71.63499815961013,-19.884018870988303,-70.46466581751626,130.38262786041705,47.334137379316736,12.61228756248922,49.99880936746571,0.0,24.999404683732855
behavior_001,2,83eeabfffffffff,83ee8dfffffffff,-19.884018870988303,-70.46466581751626,-20.08160803617356,-69.29802004989953,129.94503234813152,44.60333498526276,4.266316453174419,49.99880936746571,15.557307814541833,32.77805859100377
behavior_001,3,83ee8dfffffffff,83ee89fffffffff,-20.08160803617356,-69.29802004989953,-20.25828566386912,-68.13604720761879,129.40215078634128,43.178186818098645,3.776356033564991,49.99880936746571,10.53804368857707,30.26842652802139
behavior_001,4,83ee89fffffffff,83eed6fffffffff,-20.25828566386912,-68.13604720761879,-20.41720173658885,-66.97970172725346,128.7566498555675,42.25895822477368,10.830307179196932,49.99880936746571,0.0,24.999404683732855
behavior_001,5,83eed6fffffffff,83dd25fffffffff,-20.41720173658885,-66.97970172725346,-17.98736073972676,-66.34457835443901,128.2208115661701,35.126321802822616,2.4282233713410566,49.99880936746571,8.03997485437912,29.019392110922414
behavior_001,6,83dd25fffffffff,83dd21fffffffff,-17.98736073972676,-66.34457835443901,-18.240260781531312,-65.2032742104729,127.43066089693204,41.992972353576654,21.557845261673823,49.99880936746571,0.0,24.999404683732855
behavior_001,7,83dd21fffffffff,83dd2efffffffff,-18.240260781531312,-65.2032742104729,-18.470704735914087,-64.06949981822123,126.54684635965472,41.87568043095387,27.640282096565738,49.99880936746571,12.41889337497978,31.208851371222746
behavior_001,8,83dd2efffffffff,83dd2afffffffff,-18.470704735914087,-64.06949981822123,-18.68154985862389,-62.944114199952246,125.57344815064988,42.174217734220456,33.098835462880864,49.99880936746571,19.72616310755366,34.862486237509685
behavior_001,9,83dd2afffffffff,83dd0cfffffffff,-18.68154985862389,-62.944114199952246,-18.87518938179012,-61.827928171557325,124.51486005748774,43.64022708995324,42.86838396326323,49.99880936746571,13.498143905387735,31.748476636426723
behavior_001,10,83dd0cfffffffff,83dd08fffffffff,-18.87518938179012,-61.827928171557325,-19.053642857264425,-60.72170364076712,123.37574266674692,43.69467606095039,46.16640962557334,49.99880936746571,8.885060431038006,29.44193489925186
behavior_001,11,83dd08fffffffff,83dd0bfffffffff,-19.053642857264425,-60.72170364076712,-19.21862622144196,-59.62615295227143,122.16097563069243,44.03127967887264,50.23075170054653,49.99880936746571,2.050414415713622,26.024611891589668
behavior_001,12,83dd0bfffffffff,83dc25fffffffff,-19.21862622144196,-59.62615295227143,-19.37160669146149,-58.54193837741994,120.87560982766156,45.2444787455258,54.47248282508696,49.99880936746571,0.0,24.999404683732855
behavior_001,13,83dc25fffffffff,83dc21fffffffff,-19.37160669146149,-58.54193837741994,-19.513846184600336,-57.46967181220651,119.5248201969048,46.24533199089365,59.612592530242544,49.99880936746571,0.0,24.999404683732855
behavior_001,14,83dc21fffffffff,83dc2efffffffff,-19.513846184600336,-57.46967181220651,-19.64643596181365,-56.40991472206538,118.11385995702462,47.63681145301111,63.79636177077913,49.99880936746571,0.0,24.999404683732855
behavior_001,15,83dc2efffffffff,83dc2afffffffff,-19.64643596181365,-56.40991472206538,-19.770324494555005,-55.36317835309784,116.64801683271492,48.79061408738706,67.86595150940946,49.99880936746571,0.0,24.999404683732855
behavior_001,16,83dc2afffffffff,83dc0cfffffffff,-19.770324494555005,-55.36317835309784,-19.903928561858844,-54.32487888297734,115.77019791672043,49.946977456569726,71.60871231596487,49.99880936746571,0.0,24.999404683732855
behavior_001,17,83dc0cfffffffff,83dc08fffffffff,-19.903928561858844,-54.32487888297734,-20.05750533063191,-53.27406260726403,117.28000920646248,51.17676897238867,73.75029868327151,49.99880936746571,0.8655752458046297,25.43219230663517
behavior_001,18,83dc08fffffffff,83dc0bfffffffff,-20.05750533063191,-53.27406260726403,-20.20538873610301,-52.21070236699036,118.65869449983448,52.02607120390471,75.58124915067135,49.99880936746571,1.5508274085952944,25.774818388030504
behavior_001,19,83dc0bfffffffff,83dce5fffffffff,-20.20538873610301,-52.21070236699036,-20.347887745961184,-51.13533918534398,119.97810001118802,52.98500890583964,76.55209194877226,49.99880936746571,0.0,24.999404683732855
behavior_001,20,83dce5fffffffff,83dce1fffffffff,-20.347887745961184,-51.13533918534398,-20.48528949855736,-50.04855907231036,121.23316097379823,53.83535439924865,77.59859104070733,49.99880936746571,0.074978858368892,25.036894112917302
behavior_001,21,83dce1fffffffff,83dceefffffffff,-20.48528949855736,-50.04855907231036,-20.61786118624323,-48.9509923523721,122.41889280240972,54.80437727780086,77.39621934592472,49.99880936746571,9.692873945358844,29.845841656412276
behavior_001,22,83dceefffffffff,83dceafffffffff,-20.61786118624323,-48.9509923523721,-20.74585174815237,-47.84331259493632,123.530434714466,54.671541097205136,76.15881084437504,49.99880936746571,1.651399496393654,25.82510443192968
behavior_001,23,83dceafffffffff,83dcccfffffffff,-20.74585174815237,-47.84331259493632,-20.86949339441532,-46.72623513701363,124.56309458078871,54.32744956614056,76.13206072866234,49.99880936746571,0.0,24.999404683732855
behavior_001,24,83dcccfffffffff,83dcc8fffffffff,-20.86949339441532,-46.72623513701363,-20.98900298096314,-45.600515193613134,125.51239433666196,53.46802885888612,74.35774773252535,49.99880936746571,3.137701210633618,26.568255289049663
