behavior,n_steps,total_distance_km,total_cost,mean_edge_distance_km,sum_w_cost,sum_c_cost,sum_d_cost,sum_f_cost,a_wind,b_crosswind,c_distance,d_food,status
behavior_031,210,25297.70276701342,2955.936280839532,120.46525127149248,8212.77479088969,4032.600778796312,10499.74996716778,1879.2717828827517,0.0,0.5,0.0,0.5,ok
behavior_061,162,19513.494695945647,3228.960778553381,120.45367096262744,6085.003055742869,4116.807033996204,8099.807117529432,1947.475318761226,0.1,0.4,0.0,0.5,ok
behavior_090,162,19500.778287605033,3420.3741219941685,120.37517461484589,5989.597140929148,4317.5815326157735,8099.807117529432,1854.3604680472124,0.2,0.3,0.0,0.5,ok
behavior_025,162,19511.461510415473,3426.581974947345,120.44112043466342,6159.990651059652,4120.318370303876,8099.807117529432,1936.947830145706,0.0,0.4,0.1,0.5,ok
behavior_067,162,19513.889093484184,3445.733455346886,120.45610551533447,6093.542822606469,4114.778091163497,8099.807117529432,1947.475318761226,0.1,0.5,0.0,0.4,ok
behavior_117,162,19492.633482182104,3578.6451906592397,120.32489803816114,5904.914373547388,4373.808706822673,8099.807117529432,1864.81827446098,0.3,0.2,0.0,0.5,ok
behavior_055,162,19510.84378280325,3626.9526943358865,120.43730730125463,6080.953343875656,4126.402891920509,8099.807117529432,1941.9115612384498,0.1,0.3,0.1,0.5,ok
behavior_032,162,19494.65425758253,3640.3016466608706,120.33737196038598,6252.173543540709,4072.5676513516905,8099.807117529432,1985.0927730802098,0.0,0.5,0.1,0.4,ok
behavior_096,162,19512.40874101775,3641.664707799967,120.4469675371466,6072.35586546046,4120.508518008464,8099.807117529432,1947.475318761226,0.2,0.4,0.0,0.4,ok
behavior_141,160,19247.860974676023,3722.0232606179534,120.29913109172514,5783.850974928212,4542.655645897177,7999.8094987945005,1908.434612113901,0.4,0.1,0.0,0.5,ok
behavior_084,160,19248.696979814402,3794.5825682351633,120.30435612384001,5876.813067588894,4339.313444684728,7999.8094987945005,1902.7526318019761,0.2,0.2,0.1,0.5,ok
behavior_161,159,19137.502074437125,3808.969718916901,120.36164826690016,5419.599148128948,5106.86623393815,7949.810689427035,2198.340289704853,0.5,0.0,0.0,0.5,ok
behavior_123,159,19149.149393921667,3820.318388618813,120.43490184856394,5851.670930151727,4194.284746569571,7949.810689427035,2016.329214006062,0.3,0.3,0.0,0.4,ok
behavior_019,160,19279.721168958124,3823.859962535419,120.49825730598828,6135.227725818404,4114.171202889652,7999.8094987945005,1979.2934038192434,0.0,0.3,0.2,0.5,ok
behavior_062,162,19513.494695945647,3844.1939584302017,120.45367096262744,6085.003055742869,4116.807033996204,8099.807117529432,1947.475318761226,0.1,0.4,0.1,0.4,ok
behavior_101,162,19512.531884464413,3858.1432560635517,120.4477276818791,6067.61940038553,4107.513337898918,8099.807117529432,1969.5423567899638,0.2,0.5,0.0,0.3,ok
behavior_111,159,19123.737749659063,3941.289821212069,120.27508018653499,5788.5087447809565,4426.876417841875,7949.810689427035,1934.136974101778,0.3,0.1,0.1,0.5,ok
