behavior,a_wind,b_crosswind,c_distance,d_food
behavior_001,0.0,0.0,0.5,0.5
behavior_002,0.0,0.0,0.6,0.4
behavior_003,0.0,0.0,0.7,0.3
behavior_004,0.0,0.0,0.8,0.2
behavior_005,0.0,0.0,0.9,0.1
behavior_006,0.0,0.0,1.0,0.0
behavior_007,0.0,0.1,0.4,0.5
behavior_008,0.0,0.1,0.5,0.4
behavior_009,0.0,0.1,0.6,0.3
behavior_010,0.0,0.1,0.7,0.2
behavior_011,0.0,0.1,0.8,0.1
behavior_012,0.0,0.1,0.9,0.0
behavior_013,0.0,0.2,0.3,0.5
behavior_014,0.0,0.2,0.4,0.4
behavior_015,0.0,0.2,0.5,0.3
behavior_016,0.0,0.2,0.6,0.2
behavior_017,0.0,0.2,0.7,0.1
behavior_018,0.0,0.2,0.8,0.0
behavior_019,0.0,0.3,0.2,0.5
behavior_020,0.0,0.3,0.3,0.4
behavior_021,0.0,0.3,0.4,0.3
behavior_022,0.0,0.3,0.5,0.2
behavior_023,0.0,0.3,0.6,0.1
behavior_024,0.0,0.3,0.7,0.0
behavior_025,0.0,0.4,0.1,0.5
behavior_026,0.0,0.4,0.2,0.4
behavior_027,0.0,0.4,0.3,0.3
behavior_028,0.0,0.4,0.4,0.2
behavior_029,0.0,0.4,0.5,0.1
behavior_030,0.0,0.4,0.6,0.0
behavior_031,0.0,0.5,0.0,0.5
behavior_032,0.0,0.5,0.1,0.4
behavior_033,0.0,0.5,0.2,0.3
behavior_034,0.0,0.5,0.3,0.2
behavior_035,0.0,0.5,0.4,0.1
behavior_036,0.0,0.5,0.5,0.0
behavior_037,0.1,0.0,0.4,0.5
behavior_038,0.1,0.0,0.5,0.4
behavior_039,0.1,0.0,0.6,0.3
behavior_040,0.1,0.0,0.7,0.2
behavior_041,0.1,0.0,0.8,0.1
behavior_042,0.1,0.0,0.9,0.0
behavior_043,0.1,0.1,0.3,0.5
behavior_044,0.1,0.1,0.4,0.4
behavior_045,0.1,0.1,0.5,0.3
behavior_046,0.1,0.1,0.6,0.2
behavior_047,0.1,0.1,0.7,0.1
behavior_048,0.1,0.1,0.8,0.0
behavior_049,0.1,0.2,0.2,0.5
behavior_050,0.1,0.2,0.3,0.4
behavior_051,0.1,0.2,0.4,0.3
behavior_052,0.1,0.2,0.5,0.2
behavior_053,0.1,0.2,0.6,0.1
behavior_054,0.1,0.2,0.7,0.0
behavior_055,0.1,0.3,0.1,0.5
behavior_056,0.1,0.3,0.2,0.4
behavior_057,0.1,0.3,0.3,0.3
behavior_058,0.1,0.3,0.4,0.2
behavior_059,0.1,0.3,0.5,0.1
behavior_060,0.1,0.3,0.6,0.0
behavior_061,0.1,0.4,0.0,0.5
behavior_062,0.1,0.4,0.1,0.4
behavior_063,0.1,0.4,0.2,0.3
behavior_064,0.1,0.4,0.3,0.2
behavior_065,0.1,0.4,0.4,0.1
behavior_066,0.1,0.4,0.5,0.0
behavior_067,0.1,0.5,0.0,0.4
behavior_068,0.1,0.5,0.1,0.3
behavior_069,0.1,0.5,0.2,0.2
behavior_070,0.1,0.5,0.3,0.1
behavior_071,0.1,0.5,0.4,0.0
behavior_072,0.2,0.0,0.3,0.5
behavior_073,0.2,0.0,0.4,0.4
behavior_074,0.2,0.0,0.5,0.3
behavior_075,0.2,0.0,0.6,0.2
behavior_076,0.2,0.0,0.7,0.1
behavior_077,0.2,0.0,0.8,0.0
behavior_078,0.2,0.1,0.2,0.5
behavior_079,0.2,0.1,0.3,0.4
behavior_080,0.2,0.1,0.4,0.3
behavior_081,0.2,0.1,0.5,0.2
behavior_082,0.2,0.1,0.6,0.1
behavior_083,0.2,0.1,0.7,0.0
behavior_084,0.2,0.2,0.1,0.5
behavior_085,0.2,0.2,0.2,0.4
behavior_086,0.2,0.2,0.3,0.3
behavior_087,0.2,0.2,0.4,0.2
behavior_088,0.2,0.2,0.5,0.1
behavior_089,0.2,0.2,0.6,0.0
behavior_090,0.2,0.3,0.0,0.5
behavior_091,0.2,0.3,0.1,0.4
behavior_092,0.2,0.3,0.2,0.3
behavior_093,0.2,0.3,0.3,0.2
behavior_094,0.2,0.3,0.4,0.1
behavior_095,0.2,0.3,0.5,0.0
behavior_096,0.2,0.4,0.0,0.4
behavior_097,0.2,0.4,0.1,0.3
behavior_098,0.2,0.4,0.2,0.2
behavior_099,0.2,0.4,0.3,0.1
behavior_100,0.2,0.4,0.4,0.0
behavior_101,0.2,0.5,0.0,0.3
behavior_102,0.2,0.5,0.1,0.2
behavior_103,0.2,0.5,0.2,0.1
behavior_104,0.2,0.5,0.3,0.0
behavior_105,0.3,0.0,0.2,0.5
behavior_106,0.3,0.0,0.3,0.4
behavior_107,0.3,0.0,0.4,0.3
behavior_108,0.3,0.0,0.5,0.2
behavior_109,0.3,0.0,0.6,0.1
behavior_110,0.3,0.0,0.7,0.0
behavior_111,0.3,0.1,0.1,0.5
behavior_112,0.3,0.1,0.2,0.4
behavior_113,0.3,0.1,0.3,0.3
behavior_114,0.3,0.1,0.4,0.2
behavior_115,0.3,0.1,0.5,0.1
behavior_116,0.3,0.1,0.6,0.0
behavior_117,0.3,0.2,0.0,0.5
behavior_118,0.3,0.2,0.1,0.4
behavior_119,0.3,0.2,0.2,0.3
behavior_120,0.3,0.2,0.3,0.2
behavior_121,0.3,0.2,0.4,0.1
behavior_122,0.3,0.2,0.5,0.0
behavior_123,0.3,0.3,0.0,0.4
behavior_124,0.3,0.3,0.1,0.3
behavior_125,0.3,0.3,0.2,0.2
behavior_126,0.3,0.3,0.3,0.1
behavior_127,0.3,0.3,0.4,0.0
behavior_128,0.3,0.4,0.0,0.3
behavior_129,0.3,0.4,0.1,0.2
behavior_130,0.3,0.4,0.2,0.1
behavior_131,0.3,0.4,0.3,0.0
behavior_132,0.3,0.5,0.0,0.2
behavior_133,0.3,0.5,0.1,0.1
behavior_134,0.3,0.5,0.2,0.0
behavior_135,0.4,0.0,0.1,0.5
behavior_136,0.4,0.0,0.2,0.4
behavior_137,0.4,0.0,0.3,0.3
behavior_138,0.4,0.0,0.4,0.2
behavior_139,0.4,0.0,0.5,0.1
behavior_140,0.4,0.0,0.6,0.0
behavior_141,0.4,0.1,0.0,0.5
behavior_142,0.4,0.1,0.1,0.4
behavior_143,0.4,0.1,0.2,0.3
behavior_144,0.4,0.1,0.3,0.2
behavior_145,0.4,0.1,0.4,0.1
behavior_146,0.4,0.1,0.5,0.0
behavior_147,0.4,0.2,0.0,0.4
behavior_148,0.4,0.2,0.1,0.3
behavior_149,0.4,0.2,0.2,0.2
behavior_150,0.4,0.2,0.3,0.1
behavior_151,0.4,0.2,0.4,0.0
behavior_152,0.4,0.3,0.0,0.3
behavior_153,0.4,0.3,0.1,0.2
behavior_154,0.4,0.3,0.2,0.1
behavior_155,0.4,0.3,0.3,0.0
behavior_156,0.4,0.4,0.0,0.2
behavior_157,0.4,0.4,0.1,0.1
behavior_158,0.4,0.4,0.2,0.0
behavior_159,0.4,0.5,0.0,0.1
behavior_160,0.4,0.5,0.1,0.0
behavior_161,0.5,0.0,0.0,0.5
behavior_162,0.5,0.0,0.1,0.4
behavior_163,0.5,0.0,0.2,0.3
behavior_164,0.5,0.0,0.3,0.2
behavior_165,0.5,0.0,0.4,0.1
behavior_166,0.5,0.0,0.5,0.0
behavior_167,0.5,0.1,0.0,0.4
behavior_168,0.5,0.1,0.1,0.3
behavior_169,0.5,0.1,0.2,0.2
behavior_170,0.5,0.1,0.3,0.1
behavior_171,0.5,0.1,0.4,0.0
behavior_172,0.5,0.2,0.0,0.3
behavior_173,0.5,0.2,0.1,0.2
behavior_174,0.5,0.2,0.2,0.1
behavior_175,0.5,0.2,0.3,0.0
behavior_176,0.5,0.3,0.0,0.2
behavior_177,0.5,0.3,0.1,0.1
behavior_178,0.5,0.3,0.2,0.0
behavior_179,0.5,0.4,0.0,0.1
behavior_180,0.5,0.4,0.1,0.0
behavior_181,0.5,0.5,0.0,0.0
behavior_182,0.6,0.0,0.0,0.4
behavior_183,0.6,0.0,0.1,0.3
behavior_184,0.6,0.0,0.2,0.2
behavior_185,0.6,0.0,0.3,0.1
behavior_186,0.6,0.0,0.4,0.0
behavior_187,0.6,0.1,0.0,0.3
behavior_188,0.6,0.1,0.1,0.2
behavior_189,0.6,0.1,0.2,0.1
behavior_190,0.6,0.1,0.3,0.0
behavior_191,0.6,0.2,0.0,0.2
behavior_192,0.6,0.2,0.1,0.1
behavior_193,0.6,0.2,0.2,0.0
behavior_194,0.6,0.3,0.0,0.1
behavior_195,0.6,0.3,0.1,0.0
behavior_196,0.6,0.4,0.0,0.0
behavior_197,0.7,0.0,0.0,0.3
behavior_198,0.7,0.0,0.1,0.2
behavior_199,0.7,0.0,0.2,0.1
behavior_200,0.7,0.0,0.3,0.0
behavior_201,0.7,0.1,0.0,0.2
behavior_202,0.7,0.1,0.1,0.1
behavior_203,0.7,0.1,0.2,0.0
behavior_204,0.7,0.2,0.0,0.1
behavior_205,0.7,0.2,0.1,0.0
behavior_206,0.7,0.3,0.0,0.0
behavior_207,0.8,0.0,0.0,0.2
behavior_208,0.8,0.0,0.1,0.1
behavior_209,0.8,0.0,0.2,0.0
behavior_210,0.8,0.1,0.0,0.1
behavior_211,0.8,0.1,0.1,0.0
behavior_212,0.8,0.2,0.0,0.0
behavior_213,0.9,0.0,0.0,0.1
behavior_214,0.9,0.0,0.1,0.0
behavior_215,0.9,0.1,0.0,0.0
behavior_216,1.0,0.0,0.0,0.0
