behavior,rmse_km,n_compared_bands,a_wind,b_crosswind,c_distance,d_food
behavior_166,437.9284588516564,14,0.5,0.0,0.5,0.0
behavior_171,442.5856069559463,14,0.5,0.1,0.4,0.0
behavior_151,454.88802201387256,14,0.4,0.2,0.4,0.0
behavior_165,505.6584537282662,14,0.5,0.0,0.4,0.1
behavior_145,517.8919068033111,14,0.4,0.1,0.4,0.1
behavior_190,517.8919068033111,14,0.6,0.1,0.3,0.0
behavior_175,522.9424228048567,14,0.5,0.2,0.3,0.0
behavior_155,526.9966672991517,14,0.4,0.3,0.3,0.0
behavior_164,543.4021576142154,14,0.5,0.0,0.3,0.2
behavior_184,543.4021576142154,14,0.6,0.0,0.2,0.2
behavior_185,543.4021576142154,14,0.6,0.0,0.3,0.1
behavior_126,546.1050873919676,14,0.3,0.3,0.3,0.1
behavior_193,548.1552533712065,14,0.6,0.2,0.2,0.0
behavior_189,551.0959769340697,14,0.6,0.1,0.2,0.1
behavior_131,553.3584109437546,14,0.3,0.4,0.3,0.0
behavior_154,554.1073397280933,14,0.4,0.3,0.2,0.1
behavior_170,554.8039835881615,14,0.5,0.1,0.3,0.1
behavior_150,556.0421192348125,14,0.4,0.2,0.3,0.1
behavior_174,556.0421192348125,14,0.5,0.2,0.2,0.1
behavior_130,556.7331825577782,14,0.3,0.4,0.2,0.1
behavior_192,560.3500126770647,14,0.6,0.2,0.1,0.1
behavior_138,565.6652259162031,14,0.4,0.0,0.4,0.2
behavior_163,565.6652259162031,14,0.5,0.0,0.2,0.3
behavior_182,571.1057908240142,14,0.6,0.0,0.0,0.4
behavior_183,571.1057908240142,14,0.6,0.0,0.1,0.3
behavior_191,572.4565650808894,14,0.6,0.2,0.0,0.2
behavior_177,573.6566020382395,14,0.5,0.3,0.1,0.1
behavior_019,577.9429031615414,14,0.0,0.3,0.2,0.5
behavior_020,577.9429031615414,14,0.0,0.3,0.3,0.4
behavior_026,578.6223115322432,14,0.0,0.4,0.2,0.4
behavior_013,580.1477311374593,14,0.0,0.2,0.3,0.5
behavior_194,581.354816874287,14,0.6,0.3,0.0,0.1
behavior_157,582.6535797539553,14,0.4,0.4,0.1,0.1
behavior_056,584.053217085277,14,0.1,0.3,0.2,0.4
behavior_057,584.053217085277,14,0.1,0.3,0.3,0.3
behavior_179,585.6342162251763,14,0.5,0.4,0.0,0.1
behavior_133,588.1193142841375,14,0.3,0.5,0.1,0.1
behavior_159,588.1193142841375,14,0.4,0.5,0.0,0.1
behavior_063,588.184295938205,14,0.1,0.4,0.2,0.3
behavior_093,588.184295938205,14,0.2,0.3,0.3,0.2
behavior_069,589.4680117576229,14,0.1,0.5,0.2,0.2
behavior_098,589.4680117576229,14,0.2,0.4,0.2,0.2
behavior_068,591.106449889953,14,0.1,0.5,0.1,0.3
behavior_178,594.83020569908,14,0.5,0.3,0.2,0.0
behavior_134,596.9882012010072,14,0.3,0.5,0.2,0.0
behavior_160,596.9882012010072,14,0.4,0.5,0.1,0.0
behavior_086,597.7323875196328,14,0.2,0.2,0.3,0.3
behavior_091,597.7323875196328,14,0.2,0.3,0.1,0.4
behavior_092,597.7323875196328,14,0.2,0.3,0.2,0.3
behavior_043,598.4870040983382,14,0.1,0.1,0.3,0.5
behavior_049,598.4870040983382,14,0.1,0.2,0.2,0.5
behavior_050,598.4870040983382,14,0.1,0.2,0.3,0.4
behavior_078,598.4870040983382,14,0.2,0.1,0.2,0.5
behavior_084,598.4870040983382,14,0.2,0.2,0.1,0.5
behavior_085,598.4870040983382,14,0.2,0.2,0.2,0.4
behavior_103,602.145594343479,14,0.2,0.5,0.2,0.1
behavior_158,602.2578348621847,14,0.4,0.4,0.2,0.0
behavior_180,602.2578348621847,14,0.5,0.4,0.1,0.0
behavior_195,602.2578348621847,14,0.6,0.3,0.1,0.0
behavior_120,605.0258402307719,14,0.3,0.2,0.3,0.2
behavior_125,605.0258402307719,14,0.3,0.3,0.2,0.2
behavior_079,605.7713713371039,14,0.2,0.1,0.3,0.4
behavior_080,605.7713713371039,14,0.2,0.1,0.4,0.3
behavior_118,605.7713713371039,14,0.3,0.2,0.1,0.4
behavior_119,605.7713713371039,14,0.3,0.2,0.2,0.3
behavior_148,605.7713713371039,14,0.4,0.2,0.1,0.3
behavior_111,605.8759209491823,14,0.3,0.1,0.1,0.5
behavior_112,605.8759209491823,14,0.3,0.1,0.2,0.4
behavior_113,605.8759209491823,14,0.3,0.1,0.3,0.3
behavior_114,605.8759209491823,14,0.3,0.1,0.4,0.2
behavior_142,606.88638761426,14,0.4,0.1,0.1,0.4
behavior_143,606.88638761426,14,0.4,0.1,0.2,0.3
behavior_072,608.6492061139251,14,0.2,0.0,0.3,0.5
behavior_073,608.6492061139251,14,0.2,0.0,0.4,0.4
behavior_105,608.6492061139251,14,0.3,0.0,0.2,0.5
behavior_106,608.6492061139251,14,0.3,0.0,0.3,0.4
behavior_107,608.6492061139251,14,0.3,0.0,0.4,0.3
behavior_135,608.6492061139251,14,0.4,0.0,0.1,0.5
behavior_136,608.6492061139251,14,0.4,0.0,0.2,0.4
behavior_137,608.6492061139251,14,0.4,0.0,0.3,0.3
behavior_162,608.6492061139251,14,0.5,0.0,0.1,0.4
behavior_149,609.3646552064585,14,0.4,0.2,0.2,0.2
behavior_144,611.2119952515824,14,0.4,0.1,0.3,0.2
behavior_169,611.5561274831755,14,0.5,0.1,0.2,0.2
behavior_173,614.4183912585785,14,0.5,0.2,0.1,0.2
behavior_167,616.591901961185,14,0.5,0.1,0.0,0.4
behavior_168,616.591901961185,14,0.5,0.1,0.1,0.3
behavior_187,617.9866893978699,14,0.6,0.1,0.0,0.3
behavior_188,617.9866893978699,14,0.6,0.1,0.1,0.2
behavior_097,625.4792895962291,14,0.2,0.4,0.1,0.3
behavior_124,625.4792895962291,14,0.3,0.3,0.1,0.3
behavior_128,625.4792895962291,14,0.3,0.4,0.0,0.3
behavior_129,625.4792895962291,14,0.3,0.4,0.1,0.2
behavior_152,625.4792895962291,14,0.4,0.3,0.0,0.3
behavior_153,625.4792895962291,14,0.4,0.3,0.1,0.2
behavior_156,625.4792895962291,14,0.4,0.4,0.0,0.2
behavior_176,625.4792895962291,14,0.5,0.3,0.0,0.2
behavior_102,626.6866143543889,14,0.2,0.5,0.1,0.2
behavior_132,626.6866143543889,14,0.3,0.5,0.0,0.2
behavior_181,631.5065506906403,14,0.5,0.5,0.0,0.0
behavior_196,631.5065506906403,14,0.6,0.4,0.0,0.0
behavior_172,637.0795111319884,14,0.5,0.2,0.0,0.3
behavior_037,639.8241326629109,14,0.1,0.0,0.4,0.5
behavior_197,690.1734882008559,14,0.7,0.0,0.0,0.3
behavior_032,695.3932985073028,14,0.0,0.5,0.1,0.4
behavior_062,708.9369153473833,14,0.1,0.4,0.1,0.4
behavior_123,714.250176391883,14,0.3,0.3,0.0,0.4
behavior_147,714.8818094346224,14,0.4,0.2,0.0,0.4
behavior_141,715.8268887100919,14,0.4,0.1,0.0,0.5
behavior_161,717.3220359308611,14,0.5,0.0,0.0,0.5
behavior_117,733.9851298280201,14,0.3,0.2,0.0,0.5
behavior_025,738.1082401304836,14,0.0,0.4,0.1,0.5
behavior_067,738.6051984664375,14,0.1,0.5,0.0,0.4
behavior_055,739.3737988277246,14,0.1,0.3,0.1,0.5
behavior_096,740.4892423508985,14,0.2,0.4,0.0,0.4
behavior_101,740.4892423508985,14,0.2,0.5,0.0,0.3
behavior_090,741.0985123599235,14,0.2,0.3,0.0,0.5
behavior_061,741.1080600214443,14,0.1,0.4,0.0,0.5
behavior_198,778.520148957919,14,0.7,0.0,0.1,0.2
behavior_099,781.936072163349,14,0.2,0.4,0.3,0.1
