lat_band,benchmark_lat_median,benchmark_lon_median,route_lat_median,route_lon_median,n_points,behavior,lon_error_deg,lon_error_km,squared_lon_error_km
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_001,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-67.38646875799228,-15.099003583483912,14,behavior_001,-14.84946452244563,668.3971037922628,446754.6883578849
"(-60, -50]",-56.700000225,5.89424048556142,-54.844028618037584,-19.837126528206923,10,behavior_001,-25.73136701376834,1572.6296118412247,2473163.896039881
"(-50, -40]",-45.6231879,11.03997350737515,-44.98067607211014,-20.17360209081317,9,behavior_001,-31.21357559818832,2430.1119657932054,5905444.166291317
"(-40, -30]",-35.3528118,3.646997812277105,-35.150971041301666,-20.686994954220186,8,behavior_001,-24.33399276649729,2209.358762362182,4881266.140826552
"(-30, -20]",-24.5127375,1.60011999570311,-25.34840001316212,-21.49453255022848,9,behavior_001,-23.09465254593159,2339.1793765634015,5471760.155739544
"(-20, -10]",-14.62973805,-5.954104569439496,-15.07691193525001,-22.194838902884655,10,behavior_001,-16.24073433344516,1749.3025894225045,3060059.5493602795
"(-10, 0]",-3.46887202499999,-9.91567052953346,-4.636387626015981,-22.29161242982711,9,behavior_001,-12.375941900293652,1375.1656736697696,1891080.6300396312
"(0, 10]",5.03812620000001,-18.191934691485,4.937530669447581,-21.050702486825433,10,behavior_001,-2.858767795340434,317.0085125190138,100494.39700951772
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_001,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_001,1.3027649809474404,131.3980596714961,17265.45008543405
"(30, 40]",35.95858155,-16.672725789169398,35.13217005329357,-16.927225107826082,9,behavior_001,-0.2544993186566842,22.932182447163036,525.8849917899724
"(40, 50]",47.10268035,-12.1608318325397,45.299232515991655,-14.24850657835196,9,behavior_001,-2.0876747458122615,158.1915334541827,25024.561256585803
"(50, 60]",53.785143,1.50594210230876,56.44395651912126,-7.299513744721116,20,behavior_001,-8.805455847029876,579.1305530289058,335392.19745156623
"(-80, -70]",-71.42044770000001,5.18813709980144,-70.62195055402822,5.349260264866236,1,behavior_002,0.16112316506479551,5.714860664407858,32.65963241359623
"(-70, -60]",-66.15,-0.249539061038283,-66.02028490516521,-5.575862189719434,11,behavior_002,-5.3263231286811505,239.745948259008,57478.119706610945
"(-60, -50]",-56.700000225,5.89424048556142,-55.55986989957013,-12.953659176669365,10,behavior_002,-18.847899662230787,1151.931225184273,1326945.5475545402
"(-50, -40]",-45.6231879,11.03997350737515,-45.28161082876947,-15.347627723612352,9,behavior_002,-26.3876012309875,2054.388972461205,4220514.0501702055
"(-40, -30]",-35.3528118,3.646997812277105,-34.86489361889002,-17.006300514519353,9,behavior_002,-20.65329832679646,1875.1770853162852,3516289.101295279
"(-30, -20]",-24.5127375,1.60011999570311,-24.46946694369932,-18.283776916924424,9,behavior_002,-19.883896912627534,2013.9727796824848,4056086.357301994
"(-20, -10]",-14.62973805,-5.954104569439496,-14.750164951364376,-19.29699140828996,9,behavior_002,-13.342886838850463,1437.1730993410863,2065466.5174696639
"(-10, 0]",-3.46887202499999,-9.91567052953346,-5.140179446860763,-18.795830983051772,10,behavior_002,-8.880160453518313,986.7282773902164,973632.6934014638
"(0, 10]",5.03812620000001,-18.191934691485,5.60947961500263,-18.882598027858883,10,behavior_002,-0.6906633363738841,76.58759738100073,5865.660072594271
"(10, 20]",15.44703525,-19.2966096331278,14.889857017366243,-19.72878865935555,10,behavior_002,-0.4321790262277503,46.372289362234035,2150.389220694764
"(20, 30]",25.0356285,-20.1180129941091,24.80575462733373,-18.81524801316166,9,behavior_002,1.3027649809474404,131.3980596714961,17265.45008543405
