behavior,rmse_lon_deg,n_compared_bands,a_wind,b_crosswind,c_distance,d_food
behavior_208,7.139613100094986,15,0.8,0.0,0.1,0.1
behavior_210,7.139613100094986,15,0.8,0.1,0.0,0.1
behavior_207,7.245777030390434,15,0.8,0.0,0.0,0.2
behavior_202,7.267672122908076,15,0.7,0.1,0.1,0.1
behavior_204,7.288096206616651,15,0.7,0.2,0.0,0.1
behavior_201,7.37918180927455,15,0.7,0.1,0.0,0.2
behavior_209,7.395207496087495,15,0.8,0.0,0.2,0.0
behavior_213,7.495860325225755,15,0.9,0.0,0.0,0.1
behavior_203,7.518914601006976,15,0.7,0.1,0.2,0.0
behavior_211,7.540367675094085,15,0.8,0.1,0.1,0.0
behavior_200,7.588941140063524,15,0.7,0.0,0.3,0.0
behavior_205,7.68110771786569,15,0.7,0.2,0.1,0.0
behavior_206,7.719154582240866,15,0.7,0.3,0.0,0.0
behavior_199,7.73046430641548,15,0.7,0.0,0.2,0.1
behavior_214,7.878514547289318,15,0.9,0.0,0.1,0.0
behavior_215,8.250512576849617,15,0.9,0.1,0.0,0.0
behavior_216,8.272838620414456,15,1.0,0.0,0.0,0.0
behavior_212,8.332853225050917,15,0.8,0.2,0.0,0.0
behavior_186,8.386019034695517,15,0.6,0.0,0.4,0.0
behavior_190,9.134497921180305,15,0.6,0.1,0.3,0.0
behavior_193,9.313570095125598,15,0.6,0.2,0.2,0.0
behavior_198,11.239087591574545,15,0.7,0.0,0.1,0.2
behavior_171,11.895114213198246,15,0.5,0.1,0.4,0.0
behavior_197,12.405772030984178,15,0.7,0.0,0.0,0.3
behavior_192,12.51998431461987,15,0.6,0.2,0.1,0.1
behavior_177,12.637242260790488,15,0.5,0.3,0.1,0.1
behavior_194,12.637242260790488,15,0.6,0.3,0.0,0.1
behavior_175,12.665362825658029,15,0.5,0.2,0.3,0.0
behavior_178,12.867904313230843,15,0.5,0.3,0.2,0.0
behavior_195,12.867904313230843,15,0.6,0.3,0.1,0.0
behavior_196,12.867904313230843,15,0.6,0.4,0.0,0.0
behavior_191,12.98687859358781,15,0.6,0.2,0.0,0.2
behavior_150,13.011420211056516,15,0.4,0.2,0.3,0.1
behavior_174,13.011420211056516,15,0.5,0.2,0.2,0.1
behavior_170,13.141459038002619,15,0.5,0.1,0.3,0.1
behavior_173,13.147357235755738,15,0.5,0.2,0.1,0.2
behavior_185,13.23928020932917,15,0.6,0.0,0.3,0.1
behavior_182,13.298101934376968,15,0.6,0.0,0.0,0.4
behavior_184,13.308570753059154,15,0.6,0.0,0.2,0.2
behavior_136,13.33100889441293,15,0.4,0.0,0.2,0.4
behavior_162,13.33100889441293,15,0.5,0.0,0.1,0.4
behavior_167,13.354986992822212,15,0.5,0.1,0.0,0.4
behavior_165,13.378812912787147,15,0.5,0.0,0.4,0.1
behavior_161,13.42450952265743,15,0.5,0.0,0.0,0.5
behavior_187,13.42450952265743,15,0.6,0.1,0.0,0.3
behavior_163,13.439101361964891,15,0.5,0.0,0.2,0.3
behavior_183,13.439101361964891,15,0.6,0.0,0.1,0.3
behavior_143,13.473746650441493,15,0.4,0.1,0.2,0.3
behavior_189,13.48965473175956,15,0.6,0.1,0.2,0.1
behavior_168,13.495392100214675,15,0.5,0.1,0.1,0.3
behavior_188,13.564195010541768,15,0.6,0.1,0.1,0.2
behavior_131,13.572094086170432,15,0.3,0.4,0.3,0.0
behavior_164,13.668257971413546,15,0.5,0.0,0.3,0.2
behavior_138,13.72878301404825,15,0.4,0.0,0.4,0.2
behavior_155,13.787805223048254,15,0.4,0.3,0.3,0.0
behavior_144,13.829138414384744,15,0.4,0.1,0.3,0.2
behavior_169,13.850228461020603,15,0.5,0.1,0.2,0.2
behavior_137,13.917277275671943,15,0.4,0.0,0.3,0.3
behavior_157,14.109932000936844,15,0.4,0.4,0.1,0.1
behavior_181,14.176194977167896,15,0.5,0.5,0.0,0.0
behavior_180,14.280038920576134,15,0.5,0.4,0.1,0.0
behavior_158,14.316886900706365,15,0.4,0.4,0.2,0.0
behavior_160,14.316886900706365,15,0.4,0.5,0.1,0.0
behavior_134,14.367402385655138,15,0.3,0.5,0.2,0.0
behavior_117,14.41938826607816,15,0.3,0.2,0.0,0.5
behavior_130,14.496080360068166,15,0.3,0.4,0.2,0.1
behavior_179,14.522605950692139,15,0.5,0.4,0.0,0.1
behavior_159,14.556172119965174,15,0.4,0.5,0.0,0.1
behavior_152,14.64388613728318,15,0.4,0.3,0.0,0.3
behavior_123,14.68233645335029,15,0.3,0.3,0.0,0.4
behavior_078,14.694283675071453,15,0.2,0.1,0.2,0.5
behavior_091,14.710249260036704,15,0.2,0.3,0.1,0.4
behavior_128,14.710249260036704,15,0.3,0.4,0.0,0.3
behavior_112,14.715223152035072,15,0.3,0.1,0.2,0.4
behavior_176,14.727176996408236,15,0.5,0.3,0.0,0.2
