lat_band,benchmark_lat_median,benchmark_lon_median,route_lat_median,route_lon_median,n_points,behavior,squared_lon_error
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_001,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.2032742104729,-18.87518938179012,9,behavior_001,263.892348260468
"(-60, -50]",-58.0693621,-31.43578883,-54.844028618037584,-19.837126528206923,10,behavior_001,134.52896719103586
"(-50, -40]",-43.7844094,0.441897953,-44.98067607211014,-20.17360209081317,9,behavior_001,424.99884205646083
"(-40, -30]",-35.56805596,3.938167204,-35.150971041301666,-20.686994954220186,8,behavior_001,606.3986113186394
"(-30, -20]",-24.892482045,3.1913109405,-25.34840001316212,-21.49453255022848,9,behavior_001,609.3908688487417
"(-20, -10]",-14.861629965,-2.1931205695,-15.07691193525001,-22.194838902884655,10,behavior_001,400.06873628805585
"(-10, 0]",-4.2016837085,-11.19345858,-4.636387626015981,-22.29161242982711,9,behavior_001,123.16901887443234
"(0, 10]",4.649206505,-23.063146705,4.937530669447581,-21.050702486825433,10,behavior_001,4.04993173126425
"(10, 20]",14.48227294,-40.47469647,14.889857017366243,-19.72878865935555,10,behavior_001,430.39269088775825
"(20, 30]",24.69371562,-49.41198452,24.80575462733373,-18.81524801316166,9,behavior_001,936.1602848688938
"(30, 40]",35.72890237,-46.307643205,35.13217005329357,-17.43667469083722,9,behavior_001,833.5328229457785
"(40, 50]",45.949939150000006,-37.711282205,44.97459456298925,-15.776072031888578,9,behavior_001,481.153445338571
"(50, 60]",52.560148515,-25.18428898,55.42394645344042,-12.497828625941464,11,behavior_001,160.94627631509908
"(60, 70]",62.07117996,-18.12660637,61.0954170794037,-16.777963867895608,3,behavior_001,1.818836598482399
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_002,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.2032742104729,-18.87518938179012,9,behavior_002,263.892348260468
"(-60, -50]",-58.0693621,-31.43578883,-54.844028618037584,-19.837126528206923,10,behavior_002,134.52896719103586
"(-50, -40]",-43.7844094,0.441897953,-44.98067607211014,-20.17360209081317,9,behavior_002,424.99884205646083
"(-40, -30]",-35.56805596,3.938167204,-35.150971041301666,-20.686994954220186,8,behavior_002,606.3986113186394
"(-30, -20]",-24.892482045,3.1913109405,-25.34840001316212,-21.49453255022848,9,behavior_002,609.3908688487417
"(-20, -10]",-14.861629965,-2.1931205695,-15.07691193525001,-22.194838902884655,10,behavior_002,400.06873628805585
"(-10, 0]",-4.2016837085,-11.19345858,-4.636387626015981,-22.29161242982711,9,behavior_002,123.16901887443234
"(0, 10]",4.649206505,-23.063146705,4.937530669447581,-21.050702486825433,10,behavior_002,4.04993173126425
"(10, 20]",14.48227294,-40.47469647,14.889857017366243,-19.72878865935555,10,behavior_002,430.39269088775825
"(20, 30]",24.69371562,-49.41198452,24.80575462733373,-18.81524801316166,9,behavior_002,936.1602848688938
"(30, 40]",35.72890237,-46.307643205,35.13217005329357,-17.43667469083722,9,behavior_002,833.5328229457785
"(40, 50]",45.949939150000006,-37.711282205,44.97459456298925,-15.776072031888578,9,behavior_002,481.153445338571
"(50, 60]",52.560148515,-25.18428898,55.42394645344042,-12.497828625941464,11,behavior_002,160.94627631509908
"(60, 70]",62.07117996,-18.12660637,61.0954170794037,-16.777963867895608,3,behavior_002,1.818836598482399
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_003,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.27425705485093,-23.02750485695077,9,behavior_003,146.22730451082433
"(-60, -50]",-58.0693621,-31.43578883,-54.86549813781042,-23.147349911765417,10,behavior_003,68.69821970130566
"(-50, -40]",-43.7844094,0.441897953,-45.0904744136671,-23.818646222280105,8,behavior_003,588.5740036807175
"(-40, -30]",-35.56805596,3.938167204,-35.323191537905984,-24.334184740175463,9,behavior_003,799.325884455322
"(-30, -20]",-24.892482045,3.1913109405,-25.02678459123356,-24.757036921108583,9,behavior_003,781.110148193481
"(-20, -10]",-14.861629965,-2.1931205695,-15.272923677451375,-25.027267456443365,9,behavior_003,521.3982640545054
"(-10, 0]",-4.2016837085,-11.19345858,-5.219917593156162,-25.075130621133383,9,behavior_003,192.70081865758425
"(0, 10]",4.649206505,-23.063146705,4.824217072221701,-24.20511459912697,10,behavior_003,1.3040906712167804
"(10, 20]",14.48227294,-40.47469647,14.692328365542933,-22.756257454235563,10,behavior_003,313.94308115536336
"(20, 30]",24.69371562,-49.41198452,25.08151355620916,-21.210231311275585,9,behavior_003,795.3388840457977
"(30, 40]",35.72890237,-46.307643205,35.060738757787355,-20.24034596204821,9,behavior_003,679.5039855524019
"(40, 50]",45.949939150000006,-37.711282205,45.375959973365866,-18.53988921800337,9,behavior_003,367.5423090618637
"(50, 60]",52.560148515,-25.18428898,55.42210184709746,-15.473435419547753,10,behavior_003,94.30067687254811
"(60, 70]",62.07117996,-18.12660637,61.0954170794037,-16.777963867895608,3,behavior_003,1.818836598482399
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_004,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.27425705485093,-23.02750485695077,9,behavior_004,146.22730451082433
"(-60, -50]",-58.0693621,-31.43578883,-54.86549813781042,-23.147349911765417,10,behavior_004,68.69821970130566
"(-50, -40]",-43.7844094,0.441897953,-45.0904744136671,-23.818646222280105,8,behavior_004,588.5740036807175
"(-40, -30]",-35.56805596,3.938167204,-35.323191537905984,-24.334184740175463,9,behavior_004,799.325884455322
"(-30, -20]",-24.892482045,3.1913109405,-25.02678459123356,-24.757036921108583,9,behavior_004,781.110148193481
"(-20, -10]",-14.861629965,-2.1931205695,-15.272923677451375,-25.027267456443365,9,behavior_004,521.3982640545054
"(-10, 0]",-4.2016837085,-11.19345858,-5.219917593156162,-25.075130621133383,9,behavior_004,192.70081865758425
"(0, 10]",4.649206505,-23.063146705,4.867663292958679,-25.12162819763532,9,behavior_004,4.237346055522133
"(10, 20]",14.48227294,-40.47469647,14.885818934650846,-24.734623051963325,10,behavior_004,247.74991120518467
"(20, 30]",24.69371562,-49.41198452,25.326560301380823,-23.41789784588802,9,behavior_004,675.6925420212458
"(30, 40]",35.72890237,-46.307643205,35.20518049828358,-21.94070059946699,8,behavior_004,593.7478919413397
"(40, 50]",45.949939150000006,-37.711282205,44.991928772444766,-20.067257605313984,9,behavior_004,311.31160407432543
"(50, 60]",52.560148515,-25.18428898,55.135718560346234,-17.27620151307577,10,behavior_004,62.53784738452413
"(60, 70]",62.07117996,-18.12660637,61.0954170794037,-16.777963867895608,3,behavior_004,1.818836598482399
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_005,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.27425705485093,-23.02750485695077,9,behavior_005,146.22730451082433
"(-60, -50]",-58.0693621,-31.43578883,-54.86549813781042,-23.147349911765417,10,behavior_005,68.69821970130566
"(-50, -40]",-43.7844094,0.441897953,-45.0904744136671,-23.818646222280105,8,behavior_005,588.5740036807175
"(-40, -30]",-35.56805596,3.938167204,-35.323191537905984,-24.334184740175463,9,behavior_005,799.325884455322
"(-30, -20]",-24.892482045,3.1913109405,-25.02678459123356,-24.757036921108583,9,behavior_005,781.110148193481
"(-20, -10]",-14.861629965,-2.1931205695,-15.272923677451375,-25.027267456443365,9,behavior_005,521.3982640545054
"(-10, 0]",-4.2016837085,-11.19345858,-5.219917593156162,-25.075130621133383,9,behavior_005,192.70081865758425
"(0, 10]",4.649206505,-23.063146705,4.867663292958679,-25.12162819763532,9,behavior_005,4.237346055522133
"(10, 20]",14.48227294,-40.47469647,14.885818934650846,-24.734623051963325,10,behavior_005,247.74991120518467
"(20, 30]",24.69371562,-49.41198452,25.326560301380823,-23.41789784588802,9,behavior_005,675.6925420212458
"(30, 40]",35.72890237,-46.307643205,35.20518049828358,-21.94070059946699,8,behavior_005,593.7478919413397
"(40, 50]",45.949939150000006,-37.711282205,44.991928772444766,-20.067257605313984,9,behavior_005,311.31160407432543
"(50, 60]",52.560148515,-25.18428898,55.135718560346234,-17.27620151307577,10,behavior_005,62.53784738452413
"(60, 70]",62.07117996,-18.12660637,61.0954170794037,-16.777963867895608,3,behavior_005,1.818836598482399
"(-80, -70]",-71.25708173,-20.00285938,-71.35777604351465,-21.28495770392704,2,behavior_006,1.6437761122165282
"(-70, -60]",-65.61340604,-35.1199531,-65.27425705485093,-23.02750485695077,9,behavior_006,146.22730451082433
"(-60, -50]",-58.0693621,-31.43578883,-54.86549813781042,-23.147349911765417,10,behavior_006,68.69821970130566
"(-50, -40]",-43.7844094,0.441897953,-45.0904744136671,-23.818646222280105,8,behavior_006,588.5740036807175
"(-40, -30]",-35.56805596,3.938167204,-35.323191537905984,-24.334184740175463,9,behavior_006,799.325884455322
"(-30, -20]",-24.892482045,3.1913109405,-25.02678459123356,-24.757036921108583,9,behavior_006,781.110148193481
"(-20, -10]",-14.861629965,-2.1931205695,-15.272923677451375,-25.027267456443365,9,behavior_006,521.3982640545054
"(-10, 0]",-4.2016837085,-11.19345858,-5.219917593156162,-25.075130621133383,9,behavior_006,192.70081865758425
"(0, 10]",4.649206505,-23.063146705,4.867663292958679,-25.12162819763532,9,behavior_006,4.237346055522133
"(10, 20]",14.48227294,-40.47469647,14.885818934650846,-24.734623051963325,10,behavior_006,247.74991120518467
"(20, 30]",24.69371562,-49.41198452,25.326560301380823,-23.41789784588802,9,behavior_006,675.6925420212458
"(30, 40]",35.72890237,-46.307643205,35.20518049828358,-21.94070059946699,8,behavior_006,593.7478919413397
"(40, 50]",45.949939150000006,-37.711282205,44.991928772444766,-20.067257605313984,9,behavior_006,311.31160407432543
"(50, 60]",52.560148515,-25.18428898,55.135718560346234,-17.27620151307577,10,behavior_006,62.53784738452413
"(60, 70]",62.07117996,-18.12660637,61.0954170794037,-16.777963867895608,3,behavior_006,1.818836598482399
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_007,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.2032742104729,-18.87518938179012,9,behavior_007,263.892348260468
"(-60, -50]",-58.0693621,-31.43578883,-54.844028618037584,-19.837126528206923,10,behavior_007,134.52896719103586
"(-50, -40]",-43.7844094,0.441897953,-44.98067607211014,-20.17360209081317,9,behavior_007,424.99884205646083
"(-40, -30]",-35.56805596,3.938167204,-35.150971041301666,-20.686994954220186,8,behavior_007,606.3986113186394
"(-30, -20]",-24.892482045,3.1913109405,-25.34840001316212,-21.49453255022848,9,behavior_007,609.3908688487417
"(-20, -10]",-14.861629965,-2.1931205695,-15.07691193525001,-22.194838902884655,10,behavior_007,400.06873628805585
"(-10, 0]",-4.2016837085,-11.19345858,-4.636387626015981,-22.29161242982711,9,behavior_007,123.16901887443234
"(0, 10]",4.649206505,-23.063146705,4.937530669447581,-21.050702486825433,10,behavior_007,4.04993173126425
"(10, 20]",14.48227294,-40.47469647,14.889857017366243,-19.72878865935555,10,behavior_007,430.39269088775825
"(20, 30]",24.69371562,-49.41198452,24.80575462733373,-18.81524801316166,9,behavior_007,936.1602848688938
"(30, 40]",35.72890237,-46.307643205,35.13217005329357,-17.43667469083722,9,behavior_007,833.5328229457785
"(40, 50]",45.949939150000006,-37.711282205,44.62709747387851,-16.67863416719104,9,behavior_007,442.3722834823493
"(50, 60]",52.560148515,-25.18428898,55.18936905834825,-13.868291141359824,11,behavior_007,128.05180708410916
"(60, 70]",62.07117996,-18.12660637,61.0954170794037,-16.777963867895608,3,behavior_007,1.818836598482399
"(-80, -70]",-71.25708173,-20.00285938,-71.0498319885632,-19.772798268546946,2,behavior_008,0.05292811500301452
"(-70, -60]",-65.61340604,-35.1199531,-65.2032742104729,-18.87518938179012,9,behavior_008,263.892348260468
"(-60, -50]",-58.0693621,-31.43578883,-54.844028618037584,-19.837126528206923,10,behavior_008,134.52896719103586
"(-50, -40]",-43.7844094,0.441897953,-44.98067607211014,-20.17360209081317,9,behavior_008,424.99884205646083
"(-40, -30]",-35.56805596,3.938167204,-35.150971041301666,-20.686994954220186,8,behavior_008,606.3986113186394
"(-30, -20]",-24.892482045,3.1913109405,-25.34840001316212,-21.49453255022848,9,behavior_008,609.3908688487417
"(-20, -10]",-14.861629965,-2.1931205695,-15.07691193525001,-22.194838902884655,10,behavior_008,400.06873628805585
"(-10, 0]",-4.2016837085,-11.19345858,-4.636387626015981,-22.29161242982711,9,behavior_008,123.16901887443234
