lat_band,benchmark_lat_median,mean_abs_lon_error_km,median_abs_lon_error_km,min_abs_lon_error_km,max_abs_lon_error_km
"(-10, 0]",-3.46887202499999,707.3910583304257,739.7804552308119,601.4468794273972,739.7804552308119
"(-20, -10]",-14.62973805,812.3369356367331,820.9014636423886,649.6529118935865,877.979646629288
"(-30, -20]",-24.5127375,884.2216311252168,917.4757520702838,487.6514314112858,1034.6107369296897
"(-40, -30]",-35.3528118,981.7280575989165,1055.0656367766983,460.1390292058496,1184.5009119212516
"(-50, -40]",-45.6231879,261.1085081139257,152.98605534506197,79.2615372912355,1037.2365851564773
"(-60, -50]",-56.700000225,568.070720449676,517.9654055037831,385.6078207794836,1070.451357999273
"(-70, -60]",-66.15,100.94552542959393,58.378511658551766,58.378511658551766,486.5445273931522
"(-80, -70]",-71.42044770000001,22.753617451749285,5.714860664407858,5.714860664407858,176.1024285378221
"(0, 10]",5.03812620000001,145.16163917073095,169.89132836897605,21.259017561937405,219.3589698755312
"(10, 20]",15.44703525,91.6993539481867,46.37228936223404,46.37228936223404,197.4625046487428
"(20, 30]",25.0356285,133.40745248724951,131.3980596714961,131.3980596714961,138.09603572400758
"(30, 40]",35.95858155,22.932182447163036,22.93218244716304,22.93218244716304,22.93218244716304
"(40, 50]",47.10268035,158.1915334541827,158.1915334541827,158.1915334541827,158.1915334541827
"(50, 60]",53.785143,534.2971380415582,534.2971380415582,534.2971380415582,534.2971380415582
