behavior,rmse_km,n_compared_bands,a_wind,b_crosswind,c_distance,d_food
behavior_166,437.9284588516564,14,0.5,0.0,0.5,0.0
behavior_171,442.5856069559463,14,0.5,0.1,0.4,0.0
behavior_151,454.88802201387256,14,0.4,0.2,0.4,0.0
behavior_165,505.6584537282662,14,0.5,0.0,0.4,0.1
behavior_145,517.8919068033111,14,0.4,0.1,0.4,0.1
behavior_190,517.8919068033111,14,0.6,0.1,0.3,0.0
behavior_175,522.9424228048567,14,0.5,0.2,0.3,0.0
behavior_155,526.9966672991517,14,0.4,0.3,0.3,0.0
behavior_164,543.4021576142154,14,0.5,0.0,0.3,0.2
behavior_184,543.4021576142154,14,0.6,0.0,0.2,0.2
behavior_185,543.4021576142154,14,0.6,0.0,0.3,0.1
behavior_126,546.1050873919676,14,0.3,0.3,0.3,0.1
behavior_193,548.1552533712065,14,0.6,0.2,0.2,0.0
behavior_189,551.0959769340697,14,0.6,0.1,0.2,0.1
behavior_131,553.3584109437546,14,0.3,0.4,0.3,0.0
behavior_154,554.1073397280933,14,0.4,0.3,0.2,0.1
behavior_170,554.8039835881615,14,0.5,0.1,0.3,0.1
behavior_150,556.0421192348125,14,0.4,0.2,0.3,0.1
behavior_174,556.0421192348125,14,0.5,0.2,0.2,0.1
behavior_130,556.7331825577782,14,0.3,0.4,0.2,0.1
