lat_band,benchmark_lat_median,mean_abs_lon_error_km,median_abs_lon_error_km,min_abs_lon_error_km,max_abs_lon_error_km
"(-10, 0]",-4.2016837085,747.9078003434913,692.2391782637887,692.2391782637887,934.471676130896
"(-20, -10]",-14.861629965,401.1051000117217,415.3601528292082,244.29392386745403,472.3775665231966
"(-30, -20]",-24.892482045,720.9799160478142,754.0070517800658,325.4911938730411,870.7854566199733
"(-40, -30]",-35.56805596,814.4059898882531,842.7456556332716,520.7852426175081,850.1010731446717
"(-50, -40]",-43.7844094,237.97656655399814,246.40458071668317,77.84429746298271,246.40458071668317
"(-60, -50]",-58.0693621,1099.9343908684855,1122.7507565146204,973.7387062681728,1122.7507565146204
"(-70, -60]",-65.61340604,625.597125012174,663.1769786081195,555.8059683339892,663.1769786081195
"(-80, -70]",-71.25708173,19.51848561790997,8.229196716160933,8.229196716160933,45.86015972199107
"(0, 10]",4.649206505,420.4476905840805,228.96033106536223,24.61502997982209,1190.4612029423654
"(10, 20]",14.48227294,483.8598471344152,403.43767360363813,142.21645244658478,1211.3772685257115
"(20, 30]",24.69371562,460.2200426113933,350.2890485156351,22.770996782158345,1389.1315785907268
"(30, 40]",35.72890237,270.312008142957,148.9437092076096,60.03107080897952,959.7251019567344
"(40, 50]",45.949939150000006,442.8328767655594,480.20823603041714,155.56319625238132,592.5175020258741
"(50, 60]",52.560148515,303.11339492674756,303.1133949267475,303.1133949267475,303.1133949267475
"(60, 70]",62.07117996,23.565288678507372,23.56528867850737,23.56528867850737,23.56528867850737
