behavior,rmse_km,n_compared_bands,a_wind,b_crosswind,c_distance,d_food
behavior_209,508.8656888600668,15,0.8,0.0,0.2,0.0
behavior_208,514.451749516499,15,0.8,0.0,0.1,0.1
behavior_210,514.451749516499,15,0.8,0.1,0.0,0.1
behavior_203,527.7187770211134,15,0.7,0.1,0.2,0.0
behavior_211,528.8611692866878,15,0.8,0.1,0.1,0.0
behavior_207,530.4515299713065,15,0.8,0.0,0.0,0.2
behavior_202,533.1073258755838,15,0.7,0.1,0.1,0.1
behavior_200,537.3658841693838,15,0.7,0.0,0.3,0.0
behavior_204,538.0597507819128,15,0.7,0.2,0.0,0.1
behavior_201,548.6869231252051,15,0.7,0.1,0.0,0.2
behavior_205,551.8530866183409,15,0.7,0.2,0.1,0.0
behavior_199,556.3379733124424,15,0.7,0.0,0.2,0.1
behavior_206,558.8155074038261,15,0.7,0.3,0.0,0.0
behavior_213,578.7476669061887,15,0.9,0.0,0.0,0.1
behavior_214,591.5930998144355,15,0.9,0.0,0.1,0.0
behavior_215,646.8921516375502,15,0.9,0.1,0.0,0.0
behavior_216,650.6534000349694,15,1.0,0.0,0.0,0.0
behavior_212,659.7572055712733,15,0.8,0.2,0.0,0.0
behavior_186,674.1419118390336,15,0.6,0.0,0.4,0.0
behavior_190,736.7805576232505,15,0.6,0.1,0.3,0.0
