lat_band,route_lat_median,lon_p10,lon_p50,lon_p90,n_points,population,lon_spread_p90_p10
"(-80, -70]",-71.35777604351465,-22.908337741748497,-19.772798268546946,-19.66157766610559,40,Svalbard spring,3.246760075642907
"(-70, -60]",-64.68753737032831,-23.060867399642326,-20.9198223279326,-20.25828566386912,180,Svalbard spring,2.802581735773206
"(-60, -50]",-55.04703568657949,-21.278235086884248,-13.111796265504166,-4.695713864418012,286,Svalbard spring,16.582521222466234
"(-50, -40]",-45.050822950890456,-1.422367996193837,3.507878096956534,7.471762790006778,221,Svalbard spring,8.894130786200614
"(-40, -30]",-35.239463162466706,9.281438590987728,12.565719328453133,14.257639692856076,219,Svalbard spring,4.976201101868348
"(-30, -20]",-24.781589925945326,7.889621469089841,10.43497917383861,12.508226920480746,200,Svalbard spring,4.618605451390906
"(-20, -10]",-12.89133315043664,-6.869481979958368,1.1373220675733666,6.8165044390049765,395,Svalbard spring,13.685986418963346
"(-10, 0]",-6.202992379115476,-22.33905120375971,-17.858935750272202,-10.373446782552602,383,Svalbard spring,11.965604421207107
"(0, 10]",5.819207908700605,-33.774634102859615,-26.06276913696877,-23.29369137071349,242,Svalbard spring,10.480942732146126
"(10, 20]",14.676821465250828,-47.59065386752029,-38.66129117682127,-29.8540409986607,320,Svalbard spring,17.736612868859588
"(20, 30]",24.490937312959193,-52.78043403015101,-46.15144080858767,-42.91958774910354,196,Svalbard spring,9.860846281047465
"(30, 40]",35.94958878359362,-51.00812110375124,-46.68592830520272,-42.10184826084625,219,Svalbard spring,8.90627284290499
"(40, 50]",44.624609672743446,-39.75014021463989,-31.50698576726098,-23.81696508666599,302,Svalbard spring,15.9331751279739
"(50, 60]",54.98904132433109,-23.184013036305327,-20.70530392533055,-19.487393941527586,220,Svalbard spring,3.6966190947777413
"(60, 70]",61.29361517393866,-18.80275997748048,-18.57857315102444,-18.3543863245684,40,Svalbard spring,0.44837365291208187
"(-80, -70]",-70.62195055402822,-1.477755584668219,5.349260264866236,5.349260264866236,26,Netherlands spring,6.827015849534455
"(-70, -60]",-65.3755546892138,-5.217443730309326,-2.0312895479246595,2.416161867858192,199,Netherlands spring,7.633605598167518
"(-60, -50]",-54.64969641211008,-7.994319355931565,-3.7590408256961454,3.9207145747684766,231,Netherlands spring,11.91503393070004
"(-50, -40]",-44.93668758152687,1.8215967135433848,9.08451724229576,14.572165964149349,222,Netherlands spring,12.750569250605963
"(-40, -30]",-35.45632398896109,10.039783094709176,14.779183873452684,17.54849013386707,206,Netherlands spring,7.508707039157894
"(-30, -20]",-24.885478036713373,6.579346640285814,10.689048364191038,12.979232770003748,200,Netherlands spring,6.399886129717934
"(-20, -10]",-12.89133315043664,-6.661298796502364,1.1373220675733666,7.885078267173765,397,Netherlands spring,14.546377063676129
"(-10, 0]",-6.714342001073763,-18.773897536882444,-16.148376703615938,-10.373446782552602,314,Netherlands spring,8.400450754329842
"(0, 10]",4.8918705960494515,-20.63330689192652,-19.704201475443288,-17.98562162220374,200,Netherlands spring,2.6476852697227784
"(10, 20]",14.770655200086338,-20.332075687826546,-19.26952324653132,-17.275014160559007,200,Netherlands spring,3.057061527267539
"(20, 30]",24.80575462733373,-19.62648707271196,-18.81524801316166,-18.15231759487666,186,Netherlands spring,1.4741694778353
"(30, 40]",35.13217005329357,-17.919919150586807,-16.927225107826082,-15.821076458937547,180,Netherlands spring,2.09884269164926
"(40, 50]",45.299232515991655,-15.524600846705855,-14.24850657835196,-12.808268199385829,180,Netherlands spring,2.7163326473200264
"(50, 60]",56.44395651912126,-11.64316287712107,-6.617839027202022,2.1184958920874344,400,Netherlands spring,13.761658769208504
